fset	c	seed	threshold	cost_per_tx	flagged_frac
23_noVmax	1000	453	0.9900	14.400000	0.0000
23_noVmax	1000	453	1.0000	14.400000	0.0000
23_noVmax	1	590	0.0100	0.968500	0.9685
23_noVmax	1	590	0.0200	0.918700	0.9187
23_noVmax	1	590	0.0300	0.855000	0.8550
23_noVmax	1	590	0.0400	0.795000	0.7950
23_noVmax	1	590	0.0500	0.734700	0.7347
23_noVmax	1	590	0.0600	0.676600	0.6766
23_noVmax	1	590	0.0700	0.621300	0.6213
23_noVmax	1	590	0.0800	0.575700	0.5757
23_noVmax	1	590	0.0900	0.524600	0.5246
23_noVmax	1	590	0.1000	0.481500	0.4815
23_noVmax	1	590	0.1100	0.439400	0.4394
23_noVmax	1	590	0.1200	0.403500	0.4035
23_noVmax	1	590	0.1300	0.367900	0.3679
23_noVmax	1	590	0.1400	0.337000	0.3370
23_noVmax	1	590	0.1500	0.308400	0.3084
23_noVmax	1	590	0.1600	0.280800	0.2808
23_noVmax	1	590	0.1700	0.259400	0.2594
23_noVmax	1	590	0.1800	0.237000	0.2370
23_noVmax	1	590	0.1900	0.217100	0.2171
23_noVmax	1	590	0.2000	0.198200	0.1982
23_noVmax	1	590	0.2100	0.180900	0.1809
23_noVmax	1	590	0.2200	0.166600	0.1666
23_noVmax	1	590	0.2300	0.155300	0.1553
23_noVmax	1	590	0.2400	0.143900	0.1439
23_noVmax	1	590	0.2500	0.133100	0.1331
23_noVmax	1	590	0.2600	0.122400	0.1224
23_noVmax	1	590	0.2700	0.113400	0.1134
23_noVmax	1	590	0.2800	0.102000	0.1020
23_noVmax	1	590	0.2900	0.093300	0.0933
23_noVmax	1	590	0.3000	0.086000	0.0860
23_noVmax	1	590	0.3100	0.078200	0.0782
23_noVmax	1	590	0.3200	0.072200	0.0722
23_noVmax	1	590	0.3300	0.067300	0.0673
23_noVmax	1	590	0.3400	0.062500	0.0625
23_noVmax	1	590	0.3500	0.058400	0.0584
23_noVmax	1	590	0.3600	0.053300	0.0533
23_noVmax	1	590	0.3700	0.050000	0.0500
23_noVmax	1	590	0.3800	0.047000	0.0470
23_noVmax	1	590	0.3900	0.043900	0.0439
23_noVmax	1	590	0.4000	0.039200	0.0392
23_noVmax	1	590	0.4100	0.036900	0.0369
23_noVmax	1	590	0.4200	0.033900	0.0339
23_noVmax	1	590	0.4300	0.031500	0.0315
23_noVmax	1	590	0.4400	0.028700	0.0287
23_noVmax	1	590	0.4500	0.027200	0.0272
23_noVmax	1	590	0.4600	0.025100	0.0251
23_noVmax	1	590	0.4700	0.023700	0.0237
23_noVmax	1	590	0.4800	0.022500	0.0224
23_noVmax	1	590	0.4900	0.021200	0.0211
23_noVmax	1	590	0.5000	0.020400	0.0202
23_noVmax	1	590	0.5100	0.019100	0.0189
23_noVmax	1	590	0.5200	0.017200	0.0169
23_noVmax	1	590	0.5300	0.016300	0.0160
23_noVmax	1	590	0.5400	0.015500	0.0152
23_noVmax	1	590	0.5500	0.014100	0.0138
23_noVmax	1	590	0.5600	0.013200	0.0129
23_noVmax	1	590	0.5700	0.012600	0.0123
23_noVmax	1	590	0.5800	0.012200	0.0119
23_noVmax	1	590	0.5900	0.011300	0.0108
23_noVmax	1	590	0.6000	0.010700	0.0102
23_noVmax	1	590	0.6100	0.010200	0.0097
23_noVmax	1	590	0.6200	0.009600	0.0090
23_noVmax	1	590	0.6300	0.009100	0.0084
23_noVmax	1	590	0.6400	0.008900	0.0080
23_noVmax	1	590	0.6500	0.008100	0.0072
23_noVmax	1	590	0.6600	0.007600	0.0066
23_noVmax	1	590	0.6700	0.006600	0.0055
23_noVmax	1	590	0.6800	0.006400	0.0050
23_noVmax	1	590	0.6900	0.005600	0.0042
23_noVmax	1	590	0.7000	0.005500	0.0039
23_noVmax	1	590	0.7100	0.005400	0.0036
23_noVmax	1	590	0.7200	0.004900	0.0031
23_noVmax	1	590	0.7300	0.005300	0.0030
23_noVmax	1	590	0.7400	0.005300	0.0028
23_noVmax	1	590	0.7500	0.005200	0.0025
23_noVmax	1	590	0.7600	0.005200	0.0022
23_noVmax	1	590	0.7700	0.005000	0.0016
23_noVmax	1	590	0.7800	0.005300	0.0016
23_noVmax	1	590	0.7900	0.005600	0.0014
23_noVmax	1	590	0.8000	0.005700	0.0012
23_noVmax	1	590	0.8100	0.005900	0.0012
23_noVmax	1	590	0.8200	0.005600	0.0007
23_noVmax	1	590	0.8300	0.006000	0.0006
23_noVmax	1	590	0.8400	0.006400	0.0006
23_noVmax	1	590	0.8500	0.006600	0.0005
23_noVmax	1	590	0.8600	0.006900	0.0004
23_noVmax	1	590	0.8700	0.007300	0.0003
23_noVmax	1	590	0.8800	0.007500	0.0002
23_noVmax	1	590	0.8900	0.008400	0.0002
23_noVmax	1	590	0.9000	0.008400	0.0001
23_noVmax	1	590	0.9100	0.009500	0.0001
23_noVmax	1	590	0.9200	0.009900	0.0001
23_noVmax	1	590	0.9300	0.010200	0.0000
23_noVmax	1	590	0.9400	0.010800	0.0000
23_noVmax	1	590	0.9500	0.011000	0.0000
23_noVmax	1	590	0.9600	0.012000	0.0000
23_noVmax	1	590	0.9700	0.012700	0.0000
23_noVmax	1	590	0.9800	0.013500	0.0000
23_noVmax	1	590	0.9900	0.014400	0.0000
23_noVmax	1	590	1.0000	0.014400	0.0000
23_noVmax	10	590	0.0100	0.968500	0.9685
23_noVmax	10	590	0.0200	0.918700	0.9187
23_noVmax	10	590	0.0300	0.855000	0.8550
23_noVmax	10	590	0.0400	0.795000	0.7950
23_noVmax	10	590	0.0500	0.734700	0.7347
23_noVmax	10	590	0.0600	0.676600	0.6766
23_noVmax	10	590	0.0700	0.621300	0.6213
23_noVmax	10	590	0.0800	0.575700	0.5757
23_noVmax	10	590	0.0900	0.524600	0.5246
23_noVmax	10	590	0.1000	0.481500	0.4815
23_noVmax	10	590	0.1100	0.439400	0.4394
23_noVmax	10	590	0.1200	0.403500	0.4035
23_noVmax	10	590	0.1300	0.367900	0.3679
23_noVmax	10	590	0.1400	0.337000	0.3370
23_noVmax	10	590	0.1500	0.308400	0.3084
23_noVmax	10	590	0.1600	0.280800	0.2808
23_noVmax	10	590	0.1700	0.259400	0.2594
23_noVmax	10	590	0.1800	0.237000	0.2370
23_noVmax	10	590	0.1900	0.217100	0.2171
23_noVmax	10	590	0.2000	0.198200	0.1982
23_noVmax	10	590	0.2100	0.180900	0.1809
23_noVmax	10	590	0.2200	0.166600	0.1666
23_noVmax	10	590	0.2300	0.155300	0.1553
23_noVmax	10	590	0.2400	0.143900	0.1439
23_noVmax	10	590	0.2500	0.133100	0.1331
23_noVmax	10	590	0.2600	0.122400	0.1224
23_noVmax	10	590	0.2700	0.113400	0.1134
23_noVmax	10	590	0.2800	0.102000	0.1020
23_noVmax	10	590	0.2900	0.093300	0.0933
23_noVmax	10	590	0.3000	0.086000	0.0860
23_noVmax	10	590	0.3100	0.078200	0.0782
23_noVmax	10	590	0.3200	0.072200	0.0722
23_noVmax	10	590	0.3300	0.067300	0.0673
23_noVmax	10	590	0.3400	0.062500	0.0625
23_noVmax	10	590	0.3500	0.058400	0.0584
23_noVmax	10	590	0.3600	0.053300	0.0533
23_noVmax	10	590	0.3700	0.050000	0.0500
23_noVmax	10	590	0.3800	0.047000	0.0470
23_noVmax	10	590	0.3900	0.043900	0.0439
23_noVmax	10	590	0.4000	0.039200	0.0392
23_noVmax	10	590	0.4100	0.036900	0.0369
23_noVmax	10	590	0.4200	0.033900	0.0339
23_noVmax	10	590	0.4300	0.031500	0.0315
23_noVmax	10	590	0.4400	0.028700	0.0287
23_noVmax	10	590	0.4500	0.027200	0.0272
23_noVmax	10	590	0.4600	0.025100	0.0251
23_noVmax	10	590	0.4700	0.023700	0.0237
23_noVmax	10	590	0.4800	0.023400	0.0224
23_noVmax	10	590	0.4900	0.022100	0.0211
23_noVmax	10	590	0.5000	0.022200	0.0202
23_noVmax	10	590	0.5100	0.020900	0.0189
23_noVmax	10	590	0.5200	0.019900	0.0169
23_noVmax	10	590	0.5300	0.019000	0.0160
23_noVmax	10	590	0.5400	0.018200	0.0152
23_noVmax	10	590	0.5500	0.016800	0.0138
23_noVmax	10	590	0.5600	0.015900	0.0129
23_noVmax	10	590	0.5700	0.015300	0.0123
23_noVmax	10	590	0.5800	0.014900	0.0119
23_noVmax	10	590	0.5900	0.015800	0.0108
23_noVmax	10	590	0.6000	0.015200	0.0102
23_noVmax	10	590	0.6100	0.014700	0.0097
23_noVmax	10	590	0.6200	0.015000	0.0090
23_noVmax	10	590	0.6300	0.015400	0.0084
23_noVmax	10	590	0.6400	0.017000	0.0080
23_noVmax	10	590	0.6500	0.016200	0.0072
23_noVmax	10	590	0.6600	0.016600	0.0066
23_noVmax	10	590	0.6700	0.016500	0.0055
23_noVmax	10	590	0.6800	0.019000	0.0050
23_noVmax	10	590	0.6900	0.018200	0.0042
23_noVmax	10	590	0.7000	0.019900	0.0039
23_noVmax	10	590	0.7100	0.021600	0.0036
23_noVmax	10	590	0.7200	0.021100	0.0031
23_noVmax	10	590	0.7300	0.026000	0.0030
23_noVmax	10	590	0.7400	0.027800	0.0028
23_noVmax	10	590	0.7500	0.029500	0.0025
23_noVmax	10	590	0.7600	0.032200	0.0022
23_noVmax	10	590	0.7700	0.035600	0.0016
23_noVmax	10	590	0.7800	0.038600	0.0016
23_noVmax	10	590	0.7900	0.043400	0.0014
23_noVmax	10	590	0.8000	0.046200	0.0012
23_noVmax	10	590	0.8100	0.048200	0.0012
23_noVmax	10	590	0.8200	0.049700	0.0007
23_noVmax	10	590	0.8300	0.054600	0.0006
23_noVmax	10	590	0.8400	0.058600	0.0006
23_noVmax	10	590	0.8500	0.061500	0.0005
23_noVmax	10	590	0.8600	0.065400	0.0004
23_noVmax	10	590	0.8700	0.070300	0.0003
23_noVmax	10	590	0.8800	0.073200	0.0002
23_noVmax	10	590	0.8900	0.082200	0.0002
23_noVmax	10	590	0.9000	0.083100	0.0001
23_noVmax	10	590	0.9100	0.094100	0.0001
23_noVmax	10	590	0.9200	0.098100	0.0001
23_noVmax	10	590	0.9300	0.102000	0.0000
23_noVmax	10	590	0.9400	0.108000	0.0000
23_noVmax	10	590	0.9500	0.110000	0.0000
23_noVmax	10	590	0.9600	0.120000	0.0000
23_noVmax	10	590	0.9700	0.127000	0.0000
23_noVmax	10	590	0.9800	0.135000	0.0000
23_noVmax	10	590	0.9900	0.144000	0.0000
23_noVmax	10	590	1.0000	0.144000	0.0000
23_noVmax	100	590	0.0100	0.968500	0.9685
23_noVmax	100	590	0.0200	0.918700	0.9187
23_noVmax	100	590	0.0300	0.855000	0.8550
23_noVmax	100	590	0.0400	0.795000	0.7950
23_noVmax	100	590	0.0500	0.734700	0.7347
23_noVmax	100	590	0.0600	0.676600	0.6766
23_noVmax	100	590	0.0700	0.621300	0.6213
23_noVmax	100	590	0.0800	0.575700	0.5757
23_noVmax	100	590	0.0900	0.524600	0.5246
23_noVmax	100	590	0.1000	0.481500	0.4815
23_noVmax	100	590	0.1100	0.439400	0.4394
23_noVmax	100	590	0.1200	0.403500	0.4035
23_noVmax	100	590	0.1300	0.367900	0.3679
23_noVmax	100	590	0.1400	0.337000	0.3370
23_noVmax	100	590	0.1500	0.308400	0.3084
23_noVmax	100	590	0.1600	0.280800	0.2808
23_noVmax	100	590	0.1700	0.259400	0.2594
23_noVmax	100	590	0.1800	0.237000	0.2370
23_noVmax	100	590	0.1900	0.217100	0.2171
23_noVmax	100	590	0.2000	0.198200	0.1982
23_noVmax	100	590	0.2100	0.180900	0.1809
23_noVmax	100	590	0.2200	0.166600	0.1666
23_noVmax	100	590	0.2300	0.155300	0.1553
23_noVmax	100	590	0.2400	0.143900	0.1439
23_noVmax	100	590	0.2500	0.133100	0.1331
23_noVmax	100	590	0.2600	0.122400	0.1224
23_noVmax	100	590	0.2700	0.113400	0.1134
23_noVmax	100	590	0.2800	0.102000	0.1020
23_noVmax	100	590	0.2900	0.093300	0.0933
23_noVmax	100	590	0.3000	0.086000	0.0860
23_noVmax	100	590	0.3100	0.078200	0.0782
23_noVmax	100	590	0.3200	0.072200	0.0722
23_noVmax	100	590	0.3300	0.067300	0.0673
23_noVmax	100	590	0.3400	0.062500	0.0625
23_noVmax	100	590	0.3500	0.058400	0.0584
23_noVmax	100	590	0.3600	0.053300	0.0533
23_noVmax	100	590	0.3700	0.050000	0.0500
23_noVmax	100	590	0.3800	0.047000	0.0470
23_noVmax	100	590	0.3900	0.043900	0.0439
23_noVmax	100	590	0.4000	0.039200	0.0392
23_noVmax	100	590	0.4100	0.036900	0.0369
23_noVmax	100	590	0.4200	0.033900	0.0339
23_noVmax	100	590	0.4300	0.031500	0.0315
23_noVmax	100	590	0.4400	0.028700	0.0287
23_noVmax	100	590	0.4500	0.027200	0.0272
23_noVmax	100	590	0.4600	0.025100	0.0251
23_noVmax	100	590	0.4700	0.023700	0.0237
23_noVmax	100	590	0.4800	0.032400	0.0224
23_noVmax	100	590	0.4900	0.031100	0.0211
23_noVmax	100	590	0.5000	0.040200	0.0202
23_noVmax	100	590	0.5100	0.038900	0.0189
23_noVmax	100	590	0.5200	0.046900	0.0169
23_noVmax	100	590	0.5300	0.046000	0.0160
23_noVmax	100	590	0.5400	0.045200	0.0152
23_noVmax	100	590	0.5500	0.043800	0.0138
23_noVmax	100	590	0.5600	0.042900	0.0129
23_noVmax	100	590	0.5700	0.042300	0.0123
23_noVmax	100	590	0.5800	0.041900	0.0119
23_noVmax	100	590	0.5900	0.060800	0.0108
23_noVmax	100	590	0.6000	0.060200	0.0102
23_noVmax	100	590	0.6100	0.059700	0.0097
23_noVmax	100	590	0.6200	0.069000	0.0090
23_noVmax	100	590	0.6300	0.078400	0.0084
23_noVmax	100	590	0.6400	0.098000	0.0080
23_noVmax	100	590	0.6500	0.097200	0.0072
23_noVmax	100	590	0.6600	0.106600	0.0066
23_noVmax	100	590	0.6700	0.115500	0.0055
23_noVmax	100	590	0.6800	0.145000	0.0050
23_noVmax	100	590	0.6900	0.144200	0.0042
23_noVmax	100	590	0.7000	0.163900	0.0039
23_noVmax	100	590	0.7100	0.183600	0.0036
23_noVmax	100	590	0.7200	0.183100	0.0031
23_noVmax	100	590	0.7300	0.233000	0.0030
23_noVmax	100	590	0.7400	0.252800	0.0028
23_noVmax	100	590	0.7500	0.272500	0.0025
23_noVmax	100	590	0.7600	0.302200	0.0022
23_noVmax	100	590	0.7700	0.341600	0.0016
23_noVmax	100	590	0.7800	0.371600	0.0016
23_noVmax	100	590	0.7900	0.421400	0.0014
23_noVmax	100	590	0.8000	0.451200	0.0012
23_noVmax	100	590	0.8100	0.471200	0.0012
23_noVmax	100	590	0.8200	0.490700	0.0007
23_noVmax	100	590	0.8300	0.540600	0.0006
23_noVmax	100	590	0.8400	0.580600	0.0006
23_noVmax	100	590	0.8500	0.610500	0.0005
23_noVmax	100	590	0.8600	0.650400	0.0004
23_noVmax	100	590	0.8700	0.700300	0.0003
23_noVmax	100	590	0.8800	0.730200	0.0002
23_noVmax	100	590	0.8900	0.820200	0.0002
23_noVmax	100	590	0.9000	0.830100	0.0001
23_noVmax	100	590	0.9100	0.940100	0.0001
23_noVmax	100	590	0.9200	0.980100	0.0001
23_noVmax	100	590	0.9300	1.020000	0.0000
23_noVmax	100	590	0.9400	1.080000	0.0000
23_noVmax	100	590	0.9500	1.100000	0.0000
23_noVmax	100	590	0.9600	1.200000	0.0000
23_noVmax	100	590	0.9700	1.270000	0.0000
23_noVmax	100	590	0.9800	1.350000	0.0000
23_noVmax	100	590	0.9900	1.440000	0.0000
23_noVmax	100	590	1.0000	1.440000	0.0000
23_noVmax	1000	590	0.0100	0.968500	0.9685
23_noVmax	1000	590	0.0200	0.918700	0.9187
23_noVmax	1000	590	0.0300	0.855000	0.8550
23_noVmax	1000	590	0.0400	0.795000	0.7950
23_noVmax	1000	590	0.0500	0.734700	0.7347
23_noVmax	1000	590	0.0600	0.676600	0.6766
23_noVmax	1000	590	0.0700	0.621300	0.6213
23_noVmax	1000	590	0.0800	0.575700	0.5757
23_noVmax	1000	590	0.0900	0.524600	0.5246
23_noVmax	1000	590	0.1000	0.481500	0.4815
23_noVmax	1000	590	0.1100	0.439400	0.4394
23_noVmax	1000	590	0.1200	0.403500	0.4035
23_noVmax	1000	590	0.1300	0.367900	0.3679
23_noVmax	1000	590	0.1400	0.337000	0.3370
23_noVmax	1000	590	0.1500	0.308400	0.3084
23_noVmax	1000	590	0.1600	0.280800	0.2808
23_noVmax	1000	590	0.1700	0.259400	0.2594
23_noVmax	1000	590	0.1800	0.237000	0.2370
23_noVmax	1000	590	0.1900	0.217100	0.2171
23_noVmax	1000	590	0.2000	0.198200	0.1982
23_noVmax	1000	590	0.2100	0.180900	0.1809
23_noVmax	1000	590	0.2200	0.166600	0.1666
23_noVmax	1000	590	0.2300	0.155300	0.1553
23_noVmax	1000	590	0.2400	0.143900	0.1439
23_noVmax	1000	590	0.2500	0.133100	0.1331
23_noVmax	1000	590	0.2600	0.122400	0.1224
23_noVmax	1000	590	0.2700	0.113400	0.1134
23_noVmax	1000	590	0.2800	0.102000	0.1020
23_noVmax	1000	590	0.2900	0.093300	0.0933
23_noVmax	1000	590	0.3000	0.086000	0.0860
23_noVmax	1000	590	0.3100	0.078200	0.0782
23_noVmax	1000	590	0.3200	0.072200	0.0722
23_noVmax	1000	590	0.3300	0.067300	0.0673
23_noVmax	1000	590	0.3400	0.062500	0.0625
23_noVmax	1000	590	0.3500	0.058400	0.0584
23_noVmax	1000	590	0.3600	0.053300	0.0533
23_noVmax	1000	590	0.3700	0.050000	0.0500
23_noVmax	1000	590	0.3800	0.047000	0.0470
23_noVmax	1000	590	0.3900	0.043900	0.0439
23_noVmax	1000	590	0.4000	0.039200	0.0392
23_noVmax	1000	590	0.4100	0.036900	0.0369
23_noVmax	1000	590	0.4200	0.033900	0.0339
23_noVmax	1000	590	0.4300	0.031500	0.0315
23_noVmax	1000	590	0.4400	0.028700	0.0287
23_noVmax	1000	590	0.4500	0.027200	0.0272
23_noVmax	1000	590	0.4600	0.025100	0.0251
23_noVmax	1000	590	0.4700	0.023700	0.0237
23_noVmax	1000	590	0.4800	0.122400	0.0224
23_noVmax	1000	590	0.4900	0.121100	0.0211
23_noVmax	1000	590	0.5000	0.220200	0.0202
23_noVmax	1000	590	0.5100	0.218900	0.0189
23_noVmax	1000	590	0.5200	0.316900	0.0169
23_noVmax	1000	590	0.5300	0.316000	0.0160
23_noVmax	1000	590	0.5400	0.315200	0.0152
23_noVmax	1000	590	0.5500	0.313800	0.0138
23_noVmax	1000	590	0.5600	0.312900	0.0129
23_noVmax	1000	590	0.5700	0.312300	0.0123
23_noVmax	1000	590	0.5800	0.311900	0.0119
23_noVmax	1000	590	0.5900	0.510800	0.0108
23_noVmax	1000	590	0.6000	0.510200	0.0102
23_noVmax	1000	590	0.6100	0.509700	0.0097
23_noVmax	1000	590	0.6200	0.609000	0.0090
23_noVmax	1000	590	0.6300	0.708400	0.0084
23_noVmax	1000	590	0.6400	0.908000	0.0080
23_noVmax	1000	590	0.6500	0.907200	0.0072
23_noVmax	1000	590	0.6600	1.006600	0.0066
23_noVmax	1000	590	0.6700	1.105500	0.0055
23_noVmax	1000	590	0.6800	1.405000	0.0050
23_noVmax	1000	590	0.6900	1.404200	0.0042
23_noVmax	1000	590	0.7000	1.603900	0.0039
23_noVmax	1000	590	0.7100	1.803600	0.0036
23_noVmax	1000	590	0.7200	1.803100	0.0031
23_noVmax	1000	590	0.7300	2.303000	0.0030
23_noVmax	1000	590	0.7400	2.502800	0.0028
23_noVmax	1000	590	0.7500	2.702500	0.0025
23_noVmax	1000	590	0.7600	3.002200	0.0022
23_noVmax	1000	590	0.7700	3.401600	0.0016
23_noVmax	1000	590	0.7800	3.701600	0.0016
23_noVmax	1000	590	0.7900	4.201400	0.0014
23_noVmax	1000	590	0.8000	4.501200	0.0012
23_noVmax	1000	590	0.8100	4.701200	0.0012
23_noVmax	1000	590	0.8200	4.900700	0.0007
23_noVmax	1000	590	0.8300	5.400600	0.0006
23_noVmax	1000	590	0.8400	5.800600	0.0006
23_noVmax	1000	590	0.8500	6.100500	0.0005
23_noVmax	1000	590	0.8600	6.500400	0.0004
23_noVmax	1000	590	0.8700	7.000300	0.0003
23_noVmax	1000	590	0.8800	7.300200	0.0002
23_noVmax	1000	590	0.8900	8.200200	0.0002
23_noVmax	1000	590	0.9000	8.300100	0.0001
23_noVmax	1000	590	0.9100	9.400100	0.0001
23_noVmax	1000	590	0.9200	9.800100	0.0001
23_noVmax	1000	590	0.9300	10.200000	0.0000
23_noVmax	1000	590	0.9400	10.800000	0.0000
23_noVmax	1000	590	0.9500	11.000000	0.0000
23_noVmax	1000	590	0.9600	12.000000	0.0000
23_noVmax	1000	590	0.9700	12.700000	0.0000
23_noVmax	1000	590	0.9800	13.500000	0.0000
23_noVmax	1000	590	0.9900	14.400000	0.0000
23_noVmax	1000	590	1.0000	14.400000	0.0000
23_noVmean	1	42	0.0100	0.973900	0.9739
23_noVmean	1	42	0.0200	0.935100	0.9351
23_noVmean	1	42	0.0300	0.881700	0.8817
23_noVmean	1	42	0.0400	0.821800	0.8218
23_noVmean	1	42	0.0500	0.756800	0.7568
23_noVmean	1	42	0.0600	0.696900	0.6969
23_noVmean	1	42	0.0700	0.641000	0.6410
23_noVmean	1	42	0.0800	0.588500	0.5885
23_noVmean	1	42	0.0900	0.539100	0.5391
23_noVmean	1	42	0.1000	0.491100	0.4911
23_noVmean	1	42	0.1100	0.450900	0.4509
23_noVmean	1	42	0.1200	0.411500	0.4115
23_noVmean	1	42	0.1300	0.375300	0.3753
23_noVmean	1	42	0.1400	0.342000	0.3420
23_noVmean	1	42	0.1500	0.310600	0.3106
23_noVmean	1	42	0.1600	0.282500	0.2825
23_noVmean	1	42	0.1700	0.258800	0.2588
23_noVmean	1	42	0.1800	0.237800	0.2378
23_noVmean	1	42	0.1900	0.216200	0.2162
23_noVmean	1	42	0.2000	0.196900	0.1969
23_noVmean	1	42	0.2100	0.178800	0.1788
23_noVmean	1	42	0.2200	0.162700	0.1627
23_noVmean	1	42	0.2300	0.148400	0.1484
23_noVmean	1	42	0.2400	0.137100	0.1371
23_noVmean	1	42	0.2500	0.124700	0.1247
23_noVmean	1	42	0.2600	0.115000	0.1150
23_noVmean	1	42	0.2700	0.106400	0.1064
23_noVmean	1	42	0.2800	0.098000	0.0980
23_noVmean	1	42	0.2900	0.091600	0.0916
23_noVmean	1	42	0.3000	0.083600	0.0836
23_noVmean	1	42	0.3100	0.077200	0.0772
23_noVmean	1	42	0.3200	0.072600	0.0726
23_noVmean	1	42	0.3300	0.066500	0.0665
23_noVmean	1	42	0.3400	0.061700	0.0617
23_noVmean	1	42	0.3500	0.056300	0.0563
23_noVmean	1	42	0.3600	0.051400	0.0514
23_noVmean	1	42	0.3700	0.047800	0.0478
23_noVmean	1	42	0.3800	0.044600	0.0446
23_noVmean	1	42	0.3900	0.040600	0.0406
23_noVmean	1	42	0.4000	0.038100	0.0381
23_noVmean	1	42	0.4100	0.034500	0.0345
23_noVmean	1	42	0.4200	0.031700	0.0317
23_noVmean	1	42	0.4300	0.029900	0.0299
23_noVmean	1	42	0.4400	0.027300	0.0273
23_noVmean	1	42	0.4500	0.026200	0.0262
23_noVmean	1	42	0.4600	0.024800	0.0248
23_noVmean	1	42	0.4700	0.022500	0.0224
23_noVmean	1	42	0.4800	0.021300	0.0212
23_noVmean	1	42	0.4900	0.020000	0.0199
23_noVmean	1	42	0.5000	0.018800	0.0187
23_noVmean	1	42	0.5100	0.018100	0.0180
23_noVmean	1	42	0.5200	0.017200	0.0171
23_noVmean	1	42	0.5300	0.015800	0.0157
23_noVmean	1	42	0.5400	0.014800	0.0147
23_noVmean	1	42	0.5500	0.014000	0.0138
23_noVmean	1	42	0.5600	0.013100	0.0128
23_noVmean	1	42	0.5700	0.012300	0.0120
23_noVmean	1	42	0.5800	0.011700	0.0114
23_noVmean	1	42	0.5900	0.011000	0.0104
23_noVmean	1	42	0.6000	0.010600	0.0099
23_noVmean	1	42	0.6100	0.010000	0.0093
23_noVmean	1	42	0.6200	0.008900	0.0082
23_noVmean	1	42	0.6300	0.008400	0.0077
23_noVmean	1	42	0.6400	0.007700	0.0069
23_noVmean	1	42	0.6500	0.007600	0.0068
23_noVmean	1	42	0.6600	0.006900	0.0061
23_noVmean	1	42	0.6700	0.006200	0.0054
23_noVmean	1	42	0.6800	0.006100	0.0050
23_noVmean	1	42	0.6900	0.005800	0.0045
23_noVmean	1	42	0.7000	0.005600	0.0040
23_noVmean	1	42	0.7100	0.005700	0.0037
23_noVmean	1	42	0.7200	0.005600	0.0033
23_noVmean	1	42	0.7300	0.005400	0.0029
23_noVmean	1	42	0.7400	0.005400	0.0027
23_noVmean	1	42	0.7500	0.005000	0.0021
23_noVmean	1	42	0.7600	0.005100	0.0019
23_noVmean	1	42	0.7700	0.004900	0.0016
23_noVmean	1	42	0.7800	0.005000	0.0014
23_noVmean	1	42	0.7900	0.005000	0.0011
23_noVmean	1	42	0.8000	0.005300	0.0010
23_noVmean	1	42	0.8100	0.005600	0.0009
23_noVmean	1	42	0.8200	0.006400	0.0009
23_noVmean	1	42	0.8300	0.006500	0.0006
23_noVmean	1	42	0.8400	0.006600	0.0006
23_noVmean	1	42	0.8500	0.006700	0.0002
23_noVmean	1	42	0.8600	0.007400	0.0002
23_noVmean	1	42	0.8700	0.007800	0.0002
23_noVmean	1	42	0.8800	0.008200	0.0002
23_noVmean	1	42	0.8900	0.008500	0.0002
23_noVmean	1	42	0.9000	0.008900	0.0001
23_noVmean	1	42	0.9100	0.009500	0.0001
23_noVmean	1	42	0.9200	0.010000	0.0000
23_noVmean	1	42	0.9300	0.010300	0.0000
23_noVmean	1	42	0.9400	0.010900	0.0000
23_noVmean	1	42	0.9500	0.011700	0.0000
23_noVmean	1	42	0.9600	0.012300	0.0000
23_noVmean	1	42	0.9700	0.013200	0.0000
23_noVmean	1	42	0.9800	0.014000	0.0000
23_noVmean	1	42	0.9900	0.014300	0.0000
23_noVmean	1	42	1.0000	0.014400	0.0000
23_noVmean	10	42	0.0100	0.973900	0.9739
23_noVmean	10	42	0.0200	0.935100	0.9351
23_noVmean	10	42	0.0300	0.881700	0.8817
23_noVmean	10	42	0.0400	0.821800	0.8218
23_noVmean	10	42	0.0500	0.756800	0.7568
23_noVmean	10	42	0.0600	0.696900	0.6969
23_noVmean	10	42	0.0700	0.641000	0.6410
23_noVmean	10	42	0.0800	0.588500	0.5885
23_noVmean	10	42	0.0900	0.539100	0.5391
23_noVmean	10	42	0.1000	0.491100	0.4911
23_noVmean	10	42	0.1100	0.450900	0.4509
23_noVmean	10	42	0.1200	0.411500	0.4115
23_noVmean	10	42	0.1300	0.375300	0.3753
23_noVmean	10	42	0.1400	0.342000	0.3420
23_noVmean	10	42	0.1500	0.310600	0.3106
23_noVmean	10	42	0.1600	0.282500	0.2825
23_noVmean	10	42	0.1700	0.258800	0.2588
23_noVmean	10	42	0.1800	0.237800	0.2378
23_noVmean	10	42	0.1900	0.216200	0.2162
23_noVmean	10	42	0.2000	0.196900	0.1969
23_noVmean	10	42	0.2100	0.178800	0.1788
23_noVmean	10	42	0.2200	0.162700	0.1627
23_noVmean	10	42	0.2300	0.148400	0.1484
23_noVmean	10	42	0.2400	0.137100	0.1371
23_noVmean	10	42	0.2500	0.124700	0.1247
23_noVmean	10	42	0.2600	0.115000	0.1150
23_noVmean	10	42	0.2700	0.106400	0.1064
23_noVmean	10	42	0.2800	0.098000	0.0980
23_noVmean	10	42	0.2900	0.091600	0.0916
23_noVmean	10	42	0.3000	0.083600	0.0836
23_noVmean	10	42	0.3100	0.077200	0.0772
