method	controller	threshold	trigger_step	apply_step	trigger_zvf	trigger_pcd	saved_prompts	wasted_prompts	rollout_cost
gift	zvf_triage	0.6	14	15	0.8125	0.0371	0	10	256
gift	zvf_triage	0.6	15	16	0.625	0.0625	0	10	256
gift	zvf_triage	0.6	16	17	0.625	0.0635	0	12	256
gift	zvf_triage	0.6	17	18	0.75	0.0625	0	10	256
gift	zvf_triage	0.6	18	19	0.625	0.0703	0	12	256
gift	zvf_triage	0.6	19	20	0.75	0.041	0	11	256
gift	zvf_triage	0.6	20	21	0.6875	0.0566	0	12	256
gift	zvf_triage	0.6	21	22	0.75	0.0479	0	14	256
gift	zvf_triage	0.6	22	23	0.875	0.0215	0	14	256
gift	zvf_triage	0.6	23	24	0.875	0.0215	0	14	256
gift	zvf_triage	0.6	24	25	0.875	0.0137	0	12	256
gift	zvf_triage	0.6	25	26	0.75	0.0537	0	13	256
gift	zvf_triage	0.6	26	27	0.8125	0.0283	0	15	256
gift	zvf_triage	0.6	27	28	0.9375	0.0117	0	14	256
gift	zvf_triage	0.6	28	29	0.875	0.0186	0	15	256
gift	zvf_triage	0.6	29	30	0.9375	0.0146	0	14	256
gift	zvf_triage	0.6	30	31	0.875	0.0273	0	15	256
gift	zvf_triage	0.6	31	32	0.9375	0.0068	0	12	256
gift	zvf_triage	0.6	32	33	0.75	0.043	0	15	256
gift	zvf_triage	0.6	33	34	0.9375	0.0068	0	16	256
gift	zvf_triage	0.6	34	35	1.0	0.0	0	15	256
gift	zvf_triage	0.6	35	36	0.9375	0.0068	0	15	256
gift	zvf_triage	0.6	36	37	0.9375	0.0156	0	14	256
gift	zvf_triage	0.6	37	38	0.875	0.0215	0	15	256
gift	zvf_triage	0.6	38	39	0.9375	0.0146	0	13	256
gift	zvf_triage	0.7	0	1	0.75	0.0537	0	9	256
gift	zvf_triage	0.7	6	7	0.75	0.0479	0	11	256
gift	zvf_triage	0.7	10	11	0.75	0.0361	0	10	256
gift	zvf_triage	0.7	12	13	0.75	0.0449	0	9	256
gift	zvf_triage	0.7	14	15	0.8125	0.0371	0	10	256
gift	zvf_triage	0.7	17	18	0.75	0.0625	0	10	256
gift	zvf_triage	0.7	19	20	0.75	0.041	0	11	256
gift	zvf_triage	0.7	21	22	0.75	0.0479	0	14	256
gift	zvf_triage	0.7	22	23	0.875	0.0215	0	14	256
gift	zvf_triage	0.7	23	24	0.875	0.0215	0	14	256
gift	zvf_triage	0.7	24	25	0.875	0.0137	0	12	256
gift	zvf_triage	0.7	25	26	0.75	0.0537	0	13	256
gift	zvf_triage	0.7	26	27	0.8125	0.0283	0	15	256
gift	zvf_triage	0.7	27	28	0.9375	0.0117	0	14	256
gift	zvf_triage	0.7	28	29	0.875	0.0186	0	15	256
gift	zvf_triage	0.7	29	30	0.9375	0.0146	0	14	256
gift	zvf_triage	0.7	30	31	0.875	0.0273	0	15	256
gift	zvf_triage	0.7	31	32	0.9375	0.0068	0	12	256
gift	zvf_triage	0.7	32	33	0.75	0.043	0	15	256
gift	zvf_triage	0.7	33	34	0.9375	0.0068	0	16	256
gift	zvf_triage	0.7	34	35	1.0	0.0	0	15	256
gift	zvf_triage	0.7	35	36	0.9375	0.0068	0	15	256
gift	zvf_triage	0.7	36	37	0.9375	0.0156	0	14	256
gift	zvf_triage	0.7	37	38	0.875	0.0215	0	15	256
gift	zvf_triage	0.7	38	39	0.9375	0.0146	0	13	256
gift	zvf_triage	0.8	14	15	0.8125	0.0371	0	10	256
gift	zvf_triage	0.8	22	23	0.875	0.0215	0	14	256
gift	zvf_triage	0.8	23	24	0.875	0.0215	0	14	256
gift	zvf_triage	0.8	24	25	0.875	0.0137	0	12	256
gift	zvf_triage	0.8	26	27	0.8125	0.0283	0	15	256
gift	zvf_triage	0.8	27	28	0.9375	0.0117	0	14	256
gift	zvf_triage	0.8	28	29	0.875	0.0186	0	15	256
gift	zvf_triage	0.8	29	30	0.9375	0.0146	0	14	256
gift	zvf_triage	0.8	30	31	0.875	0.0273	0	15	256
gift	zvf_triage	0.8	31	32	0.9375	0.0068	0	12	256
gift	zvf_triage	0.8	33	34	0.9375	0.0068	0	16	256
gift	zvf_triage	0.8	34	35	1.0	0.0	0	15	256
gift	zvf_triage	0.8	35	36	0.9375	0.0068	0	15	256
gift	zvf_triage	0.8	36	37	0.9375	0.0156	0	14	256
gift	zvf_triage	0.8	37	38	0.875	0.0215	0	15	256
gift	zvf_triage	0.8	38	39	0.9375	0.0146	0	13	256
gift	zvf_triage	0.9	27	28	0.9375	0.0117	0	14	256
gift	zvf_triage	0.9	29	30	0.9375	0.0146	0	14	256
gift	zvf_triage	0.9	31	32	0.9375	0.0068	0	12	256
gift	zvf_triage	0.9	33	34	0.9375	0.0068	0	16	256
gift	zvf_triage	0.9	34	35	1.0	0.0	0	15	256
gift	zvf_triage	0.9	35	36	0.9375	0.0068	0	15	256
gift	zvf_triage	0.9	36	37	0.9375	0.0156	0	14	256
gift	zvf_triage	0.9	38	39	0.9375	0.0146	0	13	256
gift	dualformer_auto	0	0	0	0.75	0.0537	0	12	94
gift	dualformer_auto	0	1	1	0.5625	0.0752	0	9	98
gift	dualformer_auto	0	2	2	0.6875	0.0342	0	11	68
gift	dualformer_auto	0	3	3	0.5625	0.0674	0	9	98
gift	dualformer_auto	0	4	4	0.6875	0.0518	0	11	76
gift	dualformer_auto	0	5	5	0.625	0.0488	0	10	132
gift	dualformer_auto	0	6	6	0.75	0.0479	0	12	96
gift	dualformer_auto	0	7	7	0.6875	0.0439	0	11	102
gift	dualformer_auto	0	8	8	0.625	0.0674	0	10	120
gift	dualformer_auto	0	9	9	0.625	0.0537	0	10	72
gift	dualformer_auto	0	10	10	0.75	0.0361	0	12	66
gift	dualformer_auto	0	11	11	0.625	0.0693	0	10	106
gift	dualformer_auto	0	12	12	0.75	0.0449	0	12	60
gift	dualformer_auto	0	13	13	0.5625	0.0908	0	9	132
gift	dualformer_auto	0	14	14	0.8125	0.0371	0	13	62
gift	dualformer_auto	0	15	15	0.625	0.0625	0	10	84
gift	dualformer_auto	0	16	16	0.625	0.0635	0	10	104
gift	dualformer_auto	0	17	17	0.75	0.0625	0	12	102
gift	dualformer_auto	0	18	18	0.625	0.0703	0	10	126
gift	dualformer_auto	0	19	19	0.75	0.041	0	12	78
gift	dualformer_auto	0	20	20	0.6875	0.0566	0	11	90
gift	dualformer_auto	0	21	21	0.75	0.0479	0	12	80
gift	dualformer_auto	0	22	22	0.875	0.0215	0	14	62
gift	dualformer_auto	0	23	23	0.875	0.0215	0	14	62
gift	dualformer_auto	0	24	24	0.875	0.0137	0	14	48
gift	dualformer_auto	0	25	25	0.75	0.0537	0	12	86
gift	dualformer_auto	0	26	26	0.8125	0.0283	0	13	62
gift	dualformer_auto	0	27	27	0.9375	0.0117	0	15	46
gift	dualformer_auto	0	28	28	0.875	0.0186	0	14	52
gift	dualformer_auto	0	29	29	0.9375	0.0146	0	15	46
gift	dualformer_auto	0	30	30	0.875	0.0273	0	14	60
gift	dualformer_auto	0	31	31	0.9375	0.0068	0	15	48
gift	dualformer_auto	0	32	32	0.75	0.043	0	12	88
gift	dualformer_auto	0	33	33	0.9375	0.0068	0	15	48
gift	dualformer_auto	0	34	34	1.0	0.0	0	16	46
gift	dualformer_auto	0	35	35	0.9375	0.0068	0	15	74
gift	dualformer_auto	0	36	36	0.9375	0.0156	0	15	60
gift	dualformer_auto	0	37	37	0.875	0.0215	0	14	90
gift	dualformer_auto	0	38	38	0.9375	0.0146	0	15	74
gift	dualformer_auto	0	39	39	0.8125	0.042	0	13	80
gift	oracle	0	0	0	0.75	0.0537	0	12	160
gift	oracle	0	1	1	0.5625	0.0752	0	9	184
gift	oracle	0	2	2	0.6875	0.0342	0	11	168
gift	oracle	0	3	3	0.5625	0.0674	0	9	184
gift	oracle	0	4	4	0.6875	0.0518	0	11	168
gift	oracle	0	5	5	0.625	0.0488	0	10	176
gift	oracle	0	6	6	0.75	0.0479	0	12	160
gift	oracle	0	7	7	0.6875	0.0439	0	11	168
gift	oracle	0	8	8	0.625	0.0674	0	10	176
gift	oracle	0	9	9	0.625	0.0537	0	10	176
gift	oracle	0	10	10	0.75	0.0361	0	12	160
gift	oracle	0	11	11	0.625	0.0693	0	10	176
gift	oracle	0	12	12	0.75	0.0449	0	12	160
gift	oracle	0	13	13	0.5625	0.0908	0	9	184
gift	oracle	0	14	14	0.8125	0.0371	0	13	152
gift	oracle	0	15	15	0.625	0.0625	0	10	176
gift	oracle	0	16	16	0.625	0.0635	0	10	176
gift	oracle	0	17	17	0.75	0.0625	0	12	160
gift	oracle	0	18	18	0.625	0.0703	0	10	176
gift	oracle	0	19	19	0.75	0.041	0	12	160
gift	oracle	0	20	20	0.6875	0.0566	0	11	168
gift	oracle	0	21	21	0.75	0.0479	0	12	160
gift	oracle	0	22	22	0.875	0.0215	0	14	144
gift	oracle	0	23	23	0.875	0.0215	0	14	144
gift	oracle	0	24	24	0.875	0.0137	0	14	144
gift	oracle	0	25	25	0.75	0.0537	0	12	160
gift	oracle	0	26	26	0.8125	0.0283	0	13	152
gift	oracle	0	27	27	0.9375	0.0117	0	15	136
gift	oracle	0	28	28	0.875	0.0186	0	14	144
gift	oracle	0	29	29	0.9375	0.0146	0	15	136
gift	oracle	0	30	30	0.875	0.0273	0	14	144
gift	oracle	0	31	31	0.9375	0.0068	0	15	136
gift	oracle	0	32	32	0.75	0.043	0	12	160
gift	oracle	0	33	33	0.9375	0.0068	0	15	136
gift	oracle	0	34	34	1.0	0.0	0	16	128
gift	oracle	0	35	35	0.9375	0.0068	0	15	136
gift	oracle	0	36	36	0.9375	0.0156	0	15	136
gift	oracle	0	37	37	0.875	0.0215	0	14	144
gift	oracle	0	38	38	0.9375	0.0146	0	15	136
gift	oracle	0	39	39	0.8125	0.042	0	13	152
areal	zvf_triage	0.5	0	1	0.6875	0.0547	0	8	256
areal	zvf_triage	0.5	1	2	0.5	0.0908	0	11	256
areal	zvf_triage	0.5	2	3	0.6875	0.043	0	11	256
areal	zvf_triage	0.5	3	4	0.6875	0.0596	0	8	256
areal	zvf_triage	0.5	4	5	0.5	0.0684	0	12	256
areal	zvf_triage	0.5	5	6	0.75	0.043	0	11	256
areal	zvf_triage	0.5	6	7	0.6875	0.0498	0	14	256
areal	zvf_triage	0.5	7	8	0.875	0.0137	0	10	256
areal	zvf_triage	0.5	8	9	0.625	0.0703	0	11	256
areal	zvf_triage	0.5	9	10	0.6875	0.0625	0	11	256
areal	zvf_triage	0.5	10	11	0.6875	0.042	0	8	256
areal	zvf_triage	0.5	11	12	0.5	0.0801	0	13	256
areal	zvf_triage	0.5	12	13	0.8125	0.0439	0	9	256
areal	zvf_triage	0.5	13	14	0.5625	0.0938	0	11	256
areal	zvf_triage	0.5	14	15	0.6875	0.0527	0	11	256
areal	zvf_triage	0.5	15	16	0.6875	0.042	0	10	256
areal	zvf_triage	0.5	16	17	0.625	0.0586	0	8	256
areal	zvf_triage	0.5	17	18	0.5	0.0928	0	9	256
areal	zvf_triage	0.5	18	19	0.5625	0.0771	0	12	256
areal	zvf_triage	0.5	19	20	0.75	0.0547	0	11	256
areal	zvf_triage	0.5	20	21	0.6875	0.0703	0	11	256
areal	zvf_triage	0.5	21	22	0.6875	0.043	0	13	256
areal	zvf_triage	0.5	22	23	0.8125	0.0293	0	13	256
areal	zvf_triage	0.5	23	24	0.8125	0.0332	0	14	256
areal	zvf_triage	0.5	24	25	0.875	0.0186	0	10	256
areal	zvf_triage	0.5	25	26	0.625	0.082	0	14	256
areal	zvf_triage	0.5	26	27	0.875	0.0264	0	15	256
areal	zvf_triage	0.5	27	28	0.9375	0.0117	0	14	256
areal	zvf_triage	0.5	28	29	0.875	0.0215	0	13	256
areal	zvf_triage	0.5	29	30	0.8125	0.0293	0	12	256
areal	zvf_triage	0.5	30	31	0.75	0.04	0	9	256
areal	zvf_triage	0.5	31	32	0.5625	0.0527	0	12	256
areal	zvf_triage	0.5	32	33	0.75	0.0479	0	10	256
areal	zvf_triage	0.5	33	34	0.625	0.0625	0	11	256
areal	zvf_triage	0.5	34	35	0.6875	0.0391	0	13	256
areal	zvf_triage	0.5	35	36	0.8125	0.0254	0	12	256
areal	zvf_triage	0.5	36	37	0.75	0.04	0	11	256
areal	zvf_triage	0.5	37	38	0.6875	0.0566	0	13	256
areal	zvf_triage	0.5	38	39	0.8125	0.0332	0	12	256
areal	zvf_triage	0.6	0	1	0.6875	0.0547	0	8	256
areal	zvf_triage	0.6	2	3	0.6875	0.043	0	11	256
areal	zvf_triage	0.6	3	4	0.6875	0.0596	0	8	256
areal	zvf_triage	0.6	5	6	0.75	0.043	0	11	256
areal	zvf_triage	0.6	6	7	0.6875	0.0498	0	14	256
areal	zvf_triage	0.6	7	8	0.875	0.0137	0	10	256
areal	zvf_triage	0.6	8	9	0.625	0.0703	0	11	256
areal	zvf_triage	0.6	9	10	0.6875	0.0625	0	11	256
areal	zvf_triage	0.6	10	11	0.6875	0.042	0	8	256
areal	zvf_triage	0.6	12	13	0.8125	0.0439	0	9	256
areal	zvf_triage	0.6	14	15	0.6875	0.0527	0	11	256
areal	zvf_triage	0.6	15	16	0.6875	0.042	0	10	256
areal	zvf_triage	0.6	16	17	0.625	0.0586	0	8	256
areal	zvf_triage	0.6	19	20	0.75	0.0547	0	11	256
areal	zvf_triage	0.6	20	21	0.6875	0.0703	0	11	256
areal	zvf_triage	0.6	21	22	0.6875	0.043	0	13	256
areal	zvf_triage	0.6	22	23	0.8125	0.0293	0	13	256
areal	zvf_triage	0.6	23	24	0.8125	0.0332	0	14	256
areal	zvf_triage	0.6	24	25	0.875	0.0186	0	10	256
areal	zvf_triage	0.6	25	26	0.625	0.082	0	14	256
areal	zvf_triage	0.6	26	27	0.875	0.0264	0	15	256
areal	zvf_triage	0.6	27	28	0.9375	0.0117	0	14	256
areal	zvf_triage	0.6	28	29	0.875	0.0215	0	13	256
areal	zvf_triage	0.6	29	30	0.8125	0.0293	0	12	256
areal	zvf_triage	0.6	30	31	0.75	0.04	0	9	256
areal	zvf_triage	0.6	32	33	0.75	0.0479	0	10	256
areal	zvf_triage	0.6	33	34	0.625	0.0625	0	11	256
areal	zvf_triage	0.6	34	35	0.6875	0.0391	0	13	256
areal	zvf_triage	0.6	35	36	0.8125	0.0254	0	12	256
areal	zvf_triage	0.6	36	37	0.75	0.04	0	11	256
areal	zvf_triage	0.6	37	38	0.6875	0.0566	0	13	256
areal	zvf_triage	0.6	38	39	0.8125	0.0332	0	12	256
areal	zvf_triage	0.7	5	6	0.75	0.043	0	11	256
areal	zvf_triage	0.7	7	8	0.875	0.0137	0	10	256
areal	zvf_triage	0.7	12	13	0.8125	0.0439	0	9	256
areal	zvf_triage	0.7	19	20	0.75	0.0547	0	11	256
areal	zvf_triage	0.7	22	23	0.8125	0.0293	0	13	256
areal	zvf_triage	0.7	23	24	0.8125	0.0332	0	14	256
areal	zvf_triage	0.7	24	25	0.875	0.0186	0	10	256
areal	zvf_triage	0.7	26	27	0.875	0.0264	0	15	256
areal	zvf_triage	0.7	27	28	0.9375	0.0117	0	14	256
areal	zvf_triage	0.7	28	29	0.875	0.0215	0	13	256
areal	zvf_triage	0.7	29	30	0.8125	0.0293	0	12	256
areal	zvf_triage	0.7	30	31	0.75	0.04	0	9	256
areal	zvf_triage	0.7	32	33	0.75	0.0479	0	10	256
areal	zvf_triage	0.7	35	36	0.8125	0.0254	0	12	256
areal	zvf_triage	0.7	36	37	0.75	0.04	0	11	256
areal	zvf_triage	0.7	38	39	0.8125	0.0332	0	12	256
areal	zvf_triage	0.8	7	8	0.875	0.0137	0	10	256
areal	zvf_triage	0.8	12	13	0.8125	0.0439	0	9	256
areal	zvf_triage	0.8	22	23	0.8125	0.0293	0	13	256
areal	zvf_triage	0.8	23	24	0.8125	0.0332	0	14	256
areal	zvf_triage	0.8	24	25	0.875	0.0186	0	10	256
areal	zvf_triage	0.8	26	27	0.875	0.0264	0	15	256
areal	zvf_triage	0.8	27	28	0.9375	0.0117	0	14	256
areal	zvf_triage	0.8	28	29	0.875	0.0215	0	13	256
areal	zvf_triage	0.8	29	30	0.8125	0.0293	0	12	256
areal	zvf_triage	0.8	35	36	0.8125	0.0254	0	12	256
areal	zvf_triage	0.8	38	39	0.8125	0.0332	0	12	256
areal	zvf_triage	0.9	27	28	0.9375	0.0117	0	14	256
areal	dualformer_auto	0	0	0	0.6875	0.0547	0	11	78
areal	dualformer_auto	0	1	1	0.5	0.0908	0	8	92
areal	dualformer_auto	0	2	2	0.6875	0.043	0	11	82
areal	dualformer_auto	0	3	3	0.6875	0.0596	0	11	114
areal	dualformer_auto	0	4	4	0.5	0.0684	0	8	84
areal	dualformer_auto	0	5	5	0.75	0.043	0	12	120
areal	dualformer_auto	0	6	6	0.6875	0.0498	0	11	92
areal	dualformer_auto	0	7	7	0.875	0.0137	0	14	90
areal	dualformer_auto	0	8	8	0.625	0.0703	0	10	110
areal	dualformer_auto	0	9	9	0.6875	0.0625	0	11	90
areal	dualformer_auto	0	10	10	0.6875	0.042	0	11	66
areal	dualformer_auto	0	11	11	0.5	0.0801	0	8	114
areal	dualformer_auto	0	12	12	0.8125	0.0439	0	13	74
areal	dualformer_auto	0	13	13	0.5625	0.0938	0	9	136
areal	dualformer_auto	0	14	14	0.6875	0.0527	0	11	70
areal	dualformer_auto	0	15	15	0.6875	0.042	0	11	80
areal	dualformer_auto	0	16	16	0.625	0.0586	0	10	100
areal	dualformer_auto	0	17	17	0.5	0.0928	0	8	114
areal	dualformer_auto	0	18	18	0.5625	0.0771	0	9	136
areal	dualformer_auto	0	19	19	0.75	0.0547	0	12	108
areal	dualformer_auto	0	20	20	0.6875	0.0703	0	11	94
areal	dualformer_auto	0	21	21	0.6875	0.043	0	11	78
areal	dualformer_auto	0	22	22	0.8125	0.0293	0	13	62
areal	dualformer_auto	0	23	23	0.8125	0.0332	0	13	68
areal	dualformer_auto	0	24	24	0.875	0.0186	0	14	52
areal	dualformer_auto	0	25	25	0.625	0.082	0	10	108
areal	dualformer_auto	0	26	26	0.875	0.0264	0	14	80
areal	dualformer_auto	0	27	27	0.9375	0.0117	0	15	46
areal	dualformer_auto	0	28	28	0.875	0.0215	0	14	62
areal	dualformer_auto	0	29	29	0.8125	0.0293	0	13	50
areal	dualformer_auto	0	30	30	0.75	0.04	0	12	64
areal	dualformer_auto	0	31	31	0.5625	0.0527	0	9	64
areal	dualformer_auto	0	32	32	0.75	0.0479	0	12	76
areal	dualformer_auto	0	33	33	0.625	0.0625	0	10	80
areal	dualformer_auto	0	34	34	0.6875	0.0391	0	11	68
areal	dualformer_auto	0	35	35	0.8125	0.0254	0	13	70
areal	dualformer_auto	0	36	36	0.75	0.04	0	12	68
areal	dualformer_auto	0	37	37	0.6875	0.0566	0	11	124
areal	dualformer_auto	0	38	38	0.8125	0.0332	0	13	90
areal	dualformer_auto	0	39	39	0.75	0.0449	0	12	94
areal	oracle	0	0	0	0.6875	0.0547	0	11	168
areal	oracle	0	1	1	0.5	0.0908	0	8	192
areal	oracle	0	2	2	0.6875	0.043	0	11	168
areal	oracle	0	3	3	0.6875	0.0596	0	11	168
areal	oracle	0	4	4	0.5	0.0684	0	8	192
areal	oracle	0	5	5	0.75	0.043	0	12	160
areal	oracle	0	6	6	0.6875	0.0498	0	11	168
areal	oracle	0	7	7	0.875	0.0137	0	14	144
areal	oracle	0	8	8	0.625	0.0703	0	10	176
areal	oracle	0	9	9	0.6875	0.0625	0	11	168
areal	oracle	0	10	10	0.6875	0.042	0	11	168
areal	oracle	0	11	11	0.5	0.0801	0	8	192
areal	oracle	0	12	12	0.8125	0.0439	0	13	152
areal	oracle	0	13	13	0.5625	0.0938	0	9	184
areal	oracle	0	14	14	0.6875	0.0527	0	11	168
areal	oracle	0	15	15	0.6875	0.042	0	11	168
areal	oracle	0	16	16	0.625	0.0586	0	10	176
areal	oracle	0	17	17	0.5	0.0928	0	8	192
areal	oracle	0	18	18	0.5625	0.0771	0	9	184
areal	oracle	0	19	19	0.75	0.0547	0	12	160
areal	oracle	0	20	20	0.6875	0.0703	0	11	168
areal	oracle	0	21	21	0.6875	0.043	0	11	168
areal	oracle	0	22	22	0.8125	0.0293	0	13	152
areal	oracle	0	23	23	0.8125	0.0332	0	13	152
areal	oracle	0	24	24	0.875	0.0186	0	14	144
areal	oracle	0	25	25	0.625	0.082	0	10	176
areal	oracle	0	26	26	0.875	0.0264	0	14	144
areal	oracle	0	27	27	0.9375	0.0117	0	15	136
areal	oracle	0	28	28	0.875	0.0215	0	14	144
areal	oracle	0	29	29	0.8125	0.0293	0	13	152
areal	oracle	0	30	30	0.75	0.04	0	12	160
areal	oracle	0	31	31	0.5625	0.0527	0	9	184
areal	oracle	0	32	32	0.75	0.0479	0	12	160
areal	oracle	0	33	33	0.625	0.0625	0	10	176
areal	oracle	0	34	34	0.6875	0.0391	0	11	168
areal	oracle	0	35	35	0.8125	0.0254	0	13	152
areal	oracle	0	36	36	0.75	0.04	0	12	160
areal	oracle	0	37	37	0.6875	0.0566	0	11	168
areal	oracle	0	38	38	0.8125	0.0332	0	13	152
areal	oracle	0	39	39	0.75	0.0449	0	12	160
