fset	rate	resample	seed	eff_rate	n	min_cost	opt_threshold	catch_at_1pct
23_noVmean	0.0144	1	316	0.0144	10000	0.024500	0.5400	0.6458
23_noVmean	0.0144	2	42	0.0144	10000	0.023100	0.4600	0.6250
23_noVmean	0.0144	2	179	0.0144	10000	0.018500	0.4900	0.6597
23_noVmean	0.0144	2	316	0.0144	10000	0.022600	0.5400	0.6319
23_noVmean	0.0144	3	42	0.0144	10000	0.023600	0.4600	0.6181
23_noVmean	0.0144	3	179	0.0144	10000	0.020400	0.4900	0.6528
23_noVmean	0.0144	3	316	0.0144	10000	0.024600	0.5400	0.6181
23_noVmean	0.0144	4	42	0.0144	10000	0.025600	0.5400	0.6250
23_noVmean	0.0144	4	179	0.0144	10000	0.019900	0.4900	0.6389
23_noVmean	0.0144	4	316	0.0144	10000	0.022500	0.5400	0.6389
23_noVmean	0.0200	0	42	0.0200	7200	0.023889	0.4600	0.4931
23_noVmean	0.0200	0	179	0.0200	7200	0.018333	0.4900	0.4861
23_noVmean	0.0200	0	316	0.0200	7200	0.025972	0.5400	0.4861
23_noVmean	0.0200	1	42	0.0200	7200	0.024861	0.4600	0.4861
23_noVmean	0.0200	1	179	0.0200	7200	0.019028	0.4900	0.4861
23_noVmean	0.0200	1	316	0.0200	7200	0.026944	0.5400	0.4792
23_noVmean	0.0200	2	42	0.0200	7200	0.024028	0.4600	0.4861
23_noVmean	0.0200	2	179	0.0200	7200	0.018333	0.4900	0.4861
23_noVmean	0.0200	2	316	0.0200	7200	0.026528	0.5400	0.4931
23_noVmean	0.0200	3	42	0.0200	7200	0.024861	0.4600	0.4861
23_noVmean	0.0200	3	179	0.0200	7200	0.019444	0.4900	0.4861
23_noVmean	0.0200	3	316	0.0200	7200	0.026944	0.5400	0.4861
23_noVmean	0.0200	4	42	0.0200	7200	0.023750	0.4600	0.5000
23_noVmean	0.0200	4	179	0.0200	7200	0.019167	0.4900	0.4931
23_noVmean	0.0200	4	316	0.0200	7200	0.027361	0.5400	0.4931
23_noVmean	0.0300	0	42	0.0300	4800	0.026042	0.4600	0.3333
23_noVmean	0.0300	0	179	0.0300	4800	0.018958	0.4900	0.3264
23_noVmean	0.0300	0	316	0.0300	4800	0.034167	0.5400	0.3264
23_noVmean	0.0300	1	42	0.0300	4800	0.022500	0.4600	0.3333
23_noVmean	0.0300	1	179	0.0300	4800	0.016875	0.4900	0.3264
23_noVmean	0.0300	1	316	0.0300	4800	0.030208	0.4100	0.3264
23_noVmean	0.0300	2	42	0.0300	4800	0.025833	0.4600	0.3333
23_noVmean	0.0300	2	179	0.0300	4800	0.020625	0.4900	0.3264
23_noVmean	0.0300	2	316	0.0300	4800	0.033333	0.4100	0.3264
23_noVmean	0.0300	3	42	0.0300	4800	0.019583	0.4600	0.3333
23_noVmean	0.0300	3	179	0.0300	4800	0.015417	0.4900	0.3264
23_noVmean	0.0300	3	316	0.0300	4800	0.030417	0.4100	0.3264
23_noVmean	0.0300	4	42	0.0300	4800	0.028958	0.4600	0.3333
23_noVmean	0.0300	4	179	0.0300	4800	0.021667	0.4900	0.3264
23_noVmean	0.0300	4	316	0.0300	4800	0.035000	0.5400	0.3264
23_noVmean	0.0500	0	42	0.0500	2880	0.023611	0.4600	0.2014
23_noVmean	0.0500	0	179	0.0500	2880	0.018750	0.4900	0.2014
23_noVmean	0.0500	0	316	0.0500	2880	0.032292	0.4100	0.2014
23_noVmean	0.0500	1	42	0.0500	2880	0.025694	0.4600	0.2014
23_noVmean	0.0500	1	179	0.0500	2880	0.017708	0.4900	0.2014
23_noVmean	0.0500	1	316	0.0500	2880	0.035069	0.4100	0.2014
23_noVmean	0.0500	2	42	0.0500	2880	0.021875	0.4600	0.2014
23_noVmean	0.0500	2	179	0.0500	2880	0.015625	0.4900	0.2014
23_noVmean	0.0500	2	316	0.0500	2880	0.025347	0.4100	0.2014
23_noVmean	0.0500	3	42	0.0500	2880	0.022222	0.4600	0.2014
23_noVmean	0.0500	3	179	0.0500	2880	0.018056	0.4900	0.2014
23_noVmean	0.0500	3	316	0.0500	2880	0.031597	0.4100	0.2014
23_noVmean	0.0500	4	42	0.0500	2880	0.025347	0.4600	0.2014
23_noVmean	0.0500	4	179	0.0500	2880	0.020486	0.4900	0.2014
23_noVmean	0.0500	4	316	0.0500	2880	0.036806	0.4100	0.2014
23_noVmax	0.0050	0	42	0.0050	28800	0.019097	0.5300	0.9167
23_noVmax	0.0050	0	179	0.0050	28800	0.018403	0.5300	0.9167
23_noVmax	0.0050	0	316	0.0050	28800	0.020174	0.5400	0.9306
23_noVmax	0.0050	1	42	0.0050	28800	0.020104	0.5300	0.9236
23_noVmax	0.0050	1	179	0.0050	28800	0.017951	0.5300	0.9167
23_noVmax	0.0050	1	316	0.0050	28800	0.020035	0.5400	0.9097
23_noVmax	0.0050	2	42	0.0050	28800	0.019861	0.5300	0.9167
23_noVmax	0.0050	2	179	0.0050	28800	0.018472	0.5300	0.9167
23_noVmax	0.0050	2	316	0.0050	28800	0.020278	0.5400	0.9236
23_noVmax	0.0050	3	42	0.0050	28800	0.020104	0.5300	0.9167
23_noVmax	0.0050	3	179	0.0050	28800	0.018750	0.5300	0.9167
23_noVmax	0.0050	3	316	0.0050	28800	0.019444	0.5400	0.9097
23_noVmax	0.0050	4	42	0.0050	28800	0.020347	0.5300	0.9236
23_noVmax	0.0050	4	179	0.0050	28800	0.018056	0.5300	0.9167
23_noVmax	0.0050	4	316	0.0050	28800	0.020799	0.5400	0.9097
23_noVmax	0.0100	0	42	0.0100	14400	0.022500	0.4800	0.7847
23_noVmax	0.0100	0	179	0.0100	14400	0.021944	0.4800	0.7847
23_noVmax	0.0100	0	316	0.0100	14400	0.026597	0.4500	0.7847
23_noVmax	0.0100	1	42	0.0100	14400	0.022708	0.4800	0.7708
23_noVmax	0.0100	1	179	0.0100	14400	0.021042	0.4800	0.7847
23_noVmax	0.0100	1	316	0.0100	14400	0.026389	0.4500	0.7917
23_noVmax	0.0100	2	42	0.0100	14400	0.020556	0.4800	0.7500
23_noVmax	0.0100	2	179	0.0100	14400	0.020972	0.4800	0.7847
23_noVmax	0.0100	2	316	0.0100	14400	0.024861	0.4500	0.7847
23_noVmax	0.0100	3	42	0.0100	14400	0.022917	0.4800	0.7639
23_noVmax	0.0100	3	179	0.0100	14400	0.021389	0.4800	0.7847
23_noVmax	0.0100	3	316	0.0100	14400	0.023889	0.4500	0.7847
23_noVmax	0.0100	4	42	0.0100	14400	0.022431	0.4800	0.7431
23_noVmax	0.0100	4	179	0.0100	14400	0.021319	0.4800	0.7847
23_noVmax	0.0100	4	316	0.0100	14400	0.026667	0.4500	0.7847
23_noVmax	0.0144	0	42	0.0144	10000	0.020600	0.4800	0.6181
23_noVmax	0.0144	0	179	0.0144	10000	0.020300	0.4800	0.6319
23_noVmax	0.0144	0	316	0.0144	10000	0.025700	0.4500	0.6458
23_noVmax	0.0144	1	42	0.0144	10000	0.019900	0.4800	0.6181
23_noVmax	0.0144	1	179	0.0144	10000	0.021200	0.4800	0.6111
23_noVmax	0.0144	1	316	0.0144	10000	0.025900	0.4500	0.6319
23_noVmax	0.0144	2	42	0.0144	10000	0.022000	0.4800	0.6250
23_noVmax	0.0144	2	179	0.0144	10000	0.021200	0.4800	0.6181
23_noVmax	0.0144	2	316	0.0144	10000	0.025300	0.4500	0.6389
23_noVmax	0.0144	3	42	0.0144	10000	0.022300	0.4800	0.6250
23_noVmax	0.0144	3	179	0.0144	10000	0.021000	0.4800	0.5972
23_noVmax	0.0144	3	316	0.0144	10000	0.025500	0.4500	0.6319
23_noVmax	0.0144	4	42	0.0144	10000	0.023500	0.4800	0.6458
23_noVmax	0.0144	4	179	0.0144	10000	0.021900	0.4800	0.6389
23_noVmax	0.0144	4	316	0.0144	10000	0.027100	0.4500	0.6458
23_noVmax	0.0200	0	42	0.0200	7200	0.021667	0.4800	0.4861
23_noVmax	0.0200	0	179	0.0200	7200	0.020556	0.4800	0.4792
23_noVmax	0.0200	0	316	0.0200	7200	0.024444	0.4500	0.4861
23_noVmax	0.0200	1	42	0.0200	7200	0.023333	0.4800	0.4861
23_noVmax	0.0200	1	179	0.0200	7200	0.021250	0.4800	0.4722
23_noVmax	0.0200	1	316	0.0200	7200	0.025972	0.4500	0.4792
23_noVmax	0.0200	2	42	0.0200	7200	0.021528	0.4800	0.4861
23_noVmax	0.0200	2	179	0.0200	7200	0.021111	0.4800	0.4861
23_noVmax	0.0200	2	316	0.0200	7200	0.024861	0.4500	0.4861
23_noVmax	0.0200	3	42	0.0200	7200	0.022500	0.4800	0.4861
23_noVmax	0.0200	3	179	0.0200	7200	0.020694	0.4800	0.4861
23_noVmax	0.0200	3	316	0.0200	7200	0.026250	0.4500	0.4861
23_noVmax	0.0200	4	42	0.0200	7200	0.021528	0.4800	0.4931
23_noVmax	0.0200	4	179	0.0200	7200	0.020139	0.4800	0.4931
23_noVmax	0.0200	4	316	0.0200	7200	0.025417	0.4500	0.4861
23_noVmax	0.0300	0	42	0.0300	4800	0.022083	0.4800	0.3194
23_noVmax	0.0300	0	179	0.0300	4800	0.022708	0.4800	0.3264
23_noVmax	0.0300	0	316	0.0300	4800	0.025000	0.4500	0.3264
23_noVmax	0.0300	1	42	0.0300	4800	0.020000	0.4800	0.3194
23_noVmax	0.0300	1	179	0.0300	4800	0.020000	0.4800	0.3264
23_noVmax	0.0300	1	316	0.0300	4800	0.024375	0.4500	0.3264
23_noVmax	0.0300	2	42	0.0300	4800	0.022917	0.4800	0.3264
23_noVmax	0.0300	2	179	0.0300	4800	0.022500	0.4800	0.3264
23_noVmax	0.0300	2	316	0.0300	4800	0.025625	0.4500	0.3264
23_noVmax	0.0300	3	42	0.0300	4800	0.017083	0.4800	0.3264
23_noVmax	0.0300	3	179	0.0300	4800	0.017083	0.4800	0.3264
23_noVmax	0.0300	3	316	0.0300	4800	0.021667	0.4500	0.3264
23_noVmax	0.0300	4	42	0.0300	4800	0.023333	0.4800	0.3194
23_noVmax	0.0300	4	179	0.0300	4800	0.022500	0.4800	0.3264
23_noVmax	0.0300	4	316	0.0300	4800	0.027708	0.4500	0.3264
23_noVmax	0.0500	0	42	0.0500	2880	0.021875	0.4800	0.2014
23_noVmax	0.0500	0	179	0.0500	2880	0.016319	0.4800	0.1944
23_noVmax	0.0500	0	316	0.0500	2880	0.020833	0.4500	0.2014
23_noVmax	0.0500	1	42	0.0500	2880	0.020486	0.4800	0.2014
23_noVmax	0.0500	1	179	0.0500	2880	0.020833	0.4800	0.2014
23_noVmax	0.0500	1	316	0.0500	2880	0.026736	0.4500	0.2014
23_noVmax	0.0500	2	42	0.0500	2880	0.018750	0.4800	0.2014
23_noVmax	0.0500	2	179	0.0500	2880	0.016667	0.4700	0.2014
23_noVmax	0.0500	2	316	0.0500	2880	0.023611	0.4500	0.2014
23_noVmax	0.0500	3	42	0.0500	2880	0.020486	0.4800	0.2014
23_noVmax	0.0500	3	179	0.0500	2880	0.020486	0.4800	0.2014
23_noVmax	0.0500	3	316	0.0500	2880	0.025000	0.4500	0.2014
23_noVmax	0.0500	4	42	0.0500	2880	0.019097	0.4800	0.2014
23_noVmax	0.0500	4	179	0.0500	2880	0.020139	0.4800	0.2014
23_noVmax	0.0500	4	316	0.0500	2880	0.024653	0.4500	0.2014
4sensor	0.0050	0	42	0.0050	28800	0.131944	0.6000	0.3194
4sensor	0.0050	0	179	0.0050	28800	0.151667	0.5900	0.2708
4sensor	0.0050	0	316	0.0050	28800	0.156875	0.5900	0.2847
4sensor	0.0050	1	42	0.0050	28800	0.130903	0.6000	0.3056
4sensor	0.0050	1	179	0.0050	28800	0.150000	0.5700	0.2639
4sensor	0.0050	1	316	0.0050	28800	0.155972	0.5900	0.2986
4sensor	0.0050	2	42	0.0050	28800	0.131076	0.6000	0.2917
4sensor	0.0050	2	179	0.0050	28800	0.149826	0.5900	0.2917
4sensor	0.0050	2	316	0.0050	28800	0.155104	0.5900	0.3056
4sensor	0.0050	3	42	0.0050	28800	0.133924	0.6000	0.3056
4sensor	0.0050	3	179	0.0050	28800	0.150972	0.5900	0.2708
