controller	method	step	fired	zvf_obs	Gstar	zvf_target	cost_ratio	delta_z	net_benefit
DUALFORMER_AUTO_d4	grpo	21	1	0.7500	12	0.7756	1.5000	-0.0256	-0.2756
DUALFORMER_AUTO_d4	grpo	22	1	0.7500	12	0.7650	1.5000	-0.0150	-0.2650
DUALFORMER_AUTO_d4	grpo	23	1	0.8750	12	0.8896	1.5000	-0.0146	-0.2646
DUALFORMER_AUTO_d4	grpo	24	1	0.8125	12	0.8503	1.5000	-0.0378	-0.2878
DUALFORMER_AUTO_d4	grpo	25	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	26	1	0.8125	12	0.8397	1.5000	-0.0272	-0.2772
DUALFORMER_AUTO_d4	grpo	27	1	0.9375	12	0.9375	1.5000	-0.0000	-0.2500
DUALFORMER_AUTO_d4	grpo	28	1	0.8125	12	0.8379	1.5000	-0.0254	-0.2754
DUALFORMER_AUTO_d4	grpo	29	1	0.8125	12	0.8377	1.5000	-0.0252	-0.2752
DUALFORMER_AUTO_d4	grpo	30	1	0.8125	12	0.8397	1.5000	-0.0272	-0.2772
DUALFORMER_AUTO_d4	grpo	31	1	0.7500	12	0.7897	1.5000	-0.0397	-0.2897
DUALFORMER_AUTO_d4	grpo	32	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	33	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	34	1	0.8750	12	0.8896	1.5000	-0.0146	-0.2646
DUALFORMER_AUTO_d4	grpo	35	1	0.9375	12	0.9395	1.5000	-0.0020	-0.2520
DUALFORMER_AUTO_d4	grpo	36	1	0.8125	12	0.8379	1.5000	-0.0254	-0.2754
DUALFORMER_AUTO_d4	grpo	37	1	0.7500	12	0.7666	1.5000	-0.0166	-0.2666
DUALFORMER_AUTO_d4	grpo	38	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	39	1	0.7500	12	0.7650	1.5000	-0.0150	-0.2650
DUALFORMER_AUTO_d4	aero	0	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	1	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	2	1	0.8125	12	0.8503	1.5000	-0.0378	-0.2878
DUALFORMER_AUTO_d4	aero	3	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	4	1	0.7500	12	0.7521	1.5000	-0.0021	-0.2521
DUALFORMER_AUTO_d4	aero	5	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	6	1	0.7500	12	0.7562	1.5000	-0.0062	-0.2562
DUALFORMER_AUTO_d4	aero	7	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	8	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	9	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	10	1	0.7500	12	0.7685	1.5000	-0.0185	-0.2685
DUALFORMER_AUTO_d4	aero	11	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	12	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	13	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	14	1	0.7500	12	0.7752	1.5000	-0.0252	-0.2752
DUALFORMER_AUTO_d4	aero	15	1	0.8125	12	0.8255	1.5000	-0.0130	-0.2630
DUALFORMER_AUTO_d4	aero	16	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	17	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	18	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	19	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	20	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	21	1	0.8125	12	0.8377	1.5000	-0.0252	-0.2752
DUALFORMER_AUTO_d4	aero	22	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	23	1	0.8125	12	0.8290	1.5000	-0.0165	-0.2665
DUALFORMER_AUTO_d4	aero	24	1	0.8125	12	0.8503	1.5000	-0.0378	-0.2878
DUALFORMER_AUTO_d4	aero	25	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	26	1	0.8750	12	0.8772	1.5000	-0.0022	-0.2522
DUALFORMER_AUTO_d4	aero	27	1	0.9375	12	0.9377	1.5000	-0.0002	-0.2502
DUALFORMER_AUTO_d4	aero	28	1	0.8125	12	0.8377	1.5000	-0.0252	-0.2752
DUALFORMER_AUTO_d4	aero	29	1	0.8750	12	0.8790	1.5000	-0.0040	-0.2540
DUALFORMER_AUTO_d4	aero	30	1	0.8125	12	0.8397	1.5000	-0.0272	-0.2772
DUALFORMER_AUTO_d4	aero	31	1	0.8125	12	0.8397	1.5000	-0.0272	-0.2772
