cost_llm	cost_ratio	rate	tree	rule	n_test_eff	n_llm_calls	n_pos_caught_at_K	cpd_usd	cpf_usd
0.01	100.0	0.005	XGB-24full	absolute_band	10000	6	50	0.00010594	0.021188000000000002
0.01	100.0	0.005	XGB-4sensor	xgb_only	10000	0	31	0.0001	0.03225806451612903
0.01	100.0	0.005	XGB-4sensor	gradient_band	10000	49	31	0.00014851	0.04790645161290323
0.01	100.0	0.005	XGB-4sensor	absolute_band	10000	0	31	0.0001	0.03225806451612903
0.01	100.0	0.001	XGB-20raw	xgb_only	10000	0	10	0.0001	0.1
0.01	100.0	0.001	XGB-20raw	gradient_band	10000	48	10	0.00014752	0.14752
0.01	100.0	0.001	XGB-20raw	absolute_band	10000	0	10	0.0001	0.1
0.01	100.0	0.001	XGB-24full	xgb_only	10000	0	10	0.0001	0.1
0.01	100.0	0.001	XGB-24full	gradient_band	10000	53	10	0.00015247	0.15247000000000002
0.01	100.0	0.001	XGB-24full	absolute_band	10000	0	10	0.0001	0.1
0.01	100.0	0.001	XGB-4sensor	xgb_only	10000	0	6	0.0001	0.16666666666666666
0.01	100.0	0.001	XGB-4sensor	gradient_band	10000	57	6	0.00015643	0.26071666666666665
0.01	100.0	0.001	XGB-4sensor	absolute_band	10000	0	6	0.0001	0.16666666666666666
0.01	100.0	0.0005	XGB-20raw	xgb_only	10000	0	5	0.0001	0.2
0.01	100.0	0.0005	XGB-20raw	gradient_band	10000	51	5	0.00015049	0.30098
0.01	100.0	0.0005	XGB-20raw	absolute_band	10000	0	5	0.0001	0.2
0.01	100.0	0.0005	XGB-24full	xgb_only	10000	0	5	0.0001	0.2
0.01	100.0	0.0005	XGB-24full	gradient_band	10000	57	5	0.00015643	0.31286
0.01	100.0	0.0005	XGB-24full	absolute_band	10000	0	5	0.0001	0.2
0.01	100.0	0.0005	XGB-4sensor	xgb_only	10000	0	2	0.0001	0.5
0.01	100.0	0.0005	XGB-4sensor	gradient_band	10000	59	2	0.00015841	0.79205
0.01	100.0	0.0005	XGB-4sensor	absolute_band	10000	0	2	0.0001	0.5
0.03	300.0	0.0144	XGB-20raw	xgb_only	10000	0	141	0.0001	0.0070921985815602835
0.03	300.0	0.0144	XGB-20raw	gradient_band	10000	9	141	0.00012691	0.009000709219858155
0.03	300.0	0.0144	XGB-20raw	absolute_band	10000	21	141	0.00016278999999999998	0.011545390070921984
0.03	300.0	0.0144	XGB-24full	xgb_only	10000	0	143	0.0001	0.006993006993006993
0.03	300.0	0.0144	XGB-24full	gradient_band	10000	9	143	0.00012691	0.008874825174825175
0.03	300.0	0.0144	XGB-24full	absolute_band	10000	22	143	0.00016578	0.011593006993006992
0.03	300.0	0.0144	XGB-4sensor	xgb_only	10000	0	78	0.0001	0.01282051282051282
0.03	300.0	0.0144	XGB-4sensor	gradient_band	10000	39	78	0.00021661	0.02777051282051282
0.03	300.0	0.0144	XGB-4sensor	absolute_band	10000	1	78	0.00010299	0.013203846153846155
0.03	300.0	0.01	XGB-20raw	xgb_only	10000	0	100	0.0001	0.01
0.03	300.0	0.01	XGB-20raw	gradient_band	10000	16	100	0.00014784	0.014783999999999999
0.03	300.0	0.01	XGB-20raw	absolute_band	10000	14	100	0.00014186	0.014186
0.03	300.0	0.01	XGB-24full	xgb_only	10000	0	99	0.0001	0.010101010101010102
0.03	300.0	0.01	XGB-24full	gradient_band	10000	16	99	0.00014784	0.014933333333333333
0.03	300.0	0.01	XGB-24full	absolute_band	10000	12	99	0.00013588	0.013725252525252526
0.03	300.0	0.01	XGB-4sensor	xgb_only	10000	0	56	0.0001	0.017857142857142856
0.03	300.0	0.01	XGB-4sensor	gradient_band	10000	42	56	0.00022558	0.04028214285714286
0.03	300.0	0.01	XGB-4sensor	absolute_band	10000	0	56	0.0001	0.017857142857142856
0.03	300.0	0.005	XGB-20raw	xgb_only	10000	0	50	0.0001	0.02
0.03	300.0	0.005	XGB-20raw	gradient_band	10000	33	50	0.00019867	0.039734
0.03	300.0	0.005	XGB-20raw	absolute_band	10000	7	50	0.00012093000000000001	0.024186
0.03	300.0	0.005	XGB-24full	xgb_only	10000	0	50	0.0001	0.02
0.03	300.0	0.005	XGB-24full	gradient_band	10000	40	50	0.00021959999999999997	0.043919999999999994
0.03	300.0	0.005	XGB-24full	absolute_band	10000	6	50	0.00011794	0.023588
0.03	300.0	0.005	XGB-4sensor	xgb_only	10000	0	31	0.0001	0.03225806451612903
