entry_id	framework	openness	label_claimed	item	frac_reported	schema_ok	badge
zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	telemetry	1.0	1	43
zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	group_size_schedule	0.0	1	43
zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	heldout_split	1.0	1	43
zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	decontamination	0.0	1	43
zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	loss_form	0.0	1	43
zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	reference_kl	0.0	1	43
zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	sampler_backend	1.0	1	43
zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	telemetry	1.0	1	43
zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	group_size_schedule	0.0	1	43
zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	heldout_split	1.0	1	43
zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	decontamination	0.0	1	43
zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	loss_form	0.0	1	43
zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	reference_kl	0.0	1	43
zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	sampler_backend	1.0	1	43
zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	telemetry	1.0	1	43
zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	group_size_schedule	0.0	1	43
zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	heldout_split	1.0	1	43
zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	decontamination	0.0	1	43
