seed	rate_pct	fset	tier	utility	opt_tau	n_pos_te	tp	fp	alerted	fn	precision	recall	f1	cost_per_caught
20260706	1.44	20raw+stat	frontier_gpt4	PREC_CONSTRAINED	0.576	144	144	144	288	0	0.5	1.0	0.6666666666666666	0.060000000000000005
20260706	1.44	20raw+stat	frontier_gpt4	COST_CONSTRAINED	0.001	144	144	9844	9988	0	0.014417300760913096	1.0	0.028424792735886297	2.080833333333333
20260706	1.0	24full	cheap_heuristic	F1	0.756	100	93	31	124	7	0.75	0.93	0.8303571428571428	0.00013333333333333334
20260706	1.0	24full	cheap_heuristic	VALUE	0.556	100	100	142	242	0	0.4132231404958678	1.0	0.584795321637427	0.00024200000000000003
20260706	1.0	24full	cheap_heuristic	PREC_CONSTRAINED	0.611	100	99	93	192	1	0.515625	0.99	0.678082191780822	0.00019393939393939395
20260706	1.0	24full	cheap_heuristic	COST_CONSTRAINED	0.001	100	100	9847	9947	0	0.010053282396702523	1.0	0.019906439733253706	0.009947000000000001
20260706	1.0	24full	small_open	F1	0.756	100	93	31	124	7	0.75	0.93	0.8303571428571428	0.0007999999999999999
20260706	1.0	24full	small_open	VALUE	0.556	100	100	142	242	0	0.4132231404958678	1.0	0.584795321637427	0.001452
20260706	1.0	24full	small_open	PREC_CONSTRAINED	0.611	100	99	93	192	1	0.515625	0.99	0.678082191780822	0.0011636363636363637
20260706	1.0	24full	small_open	COST_CONSTRAINED	0.001	100	100	9847	9947	0	0.010053282396702523	1.0	0.019906439733253706	0.05968199999999999
20260706	1.0	24full	iter120_default	F1	0.756	100	93	31	124	7	0.75	0.93	0.8303571428571428	0.0013333333333333333
20260706	1.0	24full	iter120_default	VALUE	0.556	100	100	142	242	0	0.4132231404958678	1.0	0.584795321637427	0.00242
20260706	1.0	24full	iter120_default	PREC_CONSTRAINED	0.611	100	99	93	192	1	0.515625	0.99	0.678082191780822	0.0019393939393939393
20260706	1.0	24full	iter120_default	COST_CONSTRAINED	0.001	100	100	9847	9947	0	0.010053282396702523	1.0	0.019906439733253706	0.09947
20260706	1.0	24full	mid_tier	F1	0.756	100	93	31	124	7	0.75	0.93	0.8303571428571428	0.006666666666666666
20260706	1.0	24full	mid_tier	VALUE	0.556	100	100	142	242	0	0.4132231404958678	1.0	0.584795321637427	0.0121
20260706	1.0	24full	mid_tier	PREC_CONSTRAINED	0.611	100	99	93	192	1	0.515625	0.99	0.678082191780822	0.009696969696969697
20260706	1.0	24full	mid_tier	COST_CONSTRAINED	0.001	100	100	9847	9947	0	0.010053282396702523	1.0	0.019906439733253706	0.49735
20260706	1.0	24full	frontier_gpt4	F1	0.756	100	93	31	124	7	0.75	0.93	0.8303571428571428	0.039999999999999994
20260706	1.0	24full	frontier_gpt4	VALUE	0.556	100	100	142	242	0	0.4132231404958678	1.0	0.584795321637427	0.0726
20260706	1.0	24full	frontier_gpt4	PREC_CONSTRAINED	0.611	100	99	93	192	1	0.515625	0.99	0.678082191780822	0.05818181818181818
20260706	1.0	24full	frontier_gpt4	COST_CONSTRAINED	0.001	100	100	9847	9947	0	0.010053282396702523	1.0	0.019906439733253706	2.9840999999999998
20260706	1.0	20raw	cheap_heuristic	F1	0.806	100	78	19	97	22	0.8041237113402062	0.78	0.7918781725888325	0.00012435897435897437
