strategy	seed	k	eval_score	cum_regret	best_so_far
MIPRO_BO	3	35	0.2471	8.8187	0.9481
MIPRO_BO	3	36	0.8686	8.8983	0.9481
MIPRO_BO	3	37	0.8385	9.0079	0.9481
MIPRO_BO	3	38	0.8287	9.1274	0.9481
MIPRO_BO	3	39	0.3680	9.7075	0.9481
MIPRO_BO	3	40	0.8727	9.7829	0.9481
MIPRO_BO	3	41	0.8637	9.8674	0.9481
MIPRO_BO	3	42	0.9377	9.8778	0.9481
MIPRO_BO	3	43	0.4240	10.4019	0.9481
MIPRO_BO	3	44	0.3963	10.9538	0.9481
MIPRO_BO	3	45	0.3610	11.5409	0.9481
MIPRO_BO	3	46	0.4038	12.0852	0.9481
MIPRO_BO	3	47	0.9015	12.1318	0.9481
MIPRO_BO	3	48	0.3023	12.7777	0.9481
MIPRO_BO	4	1	0.8126	0.1355	0.8126
MIPRO_BO	4	2	0.8545	0.2292	0.8545
