anchor	k	r2_sat	r2_const	r2_linear	delta_sat_const
gpt-oss-20B	11	-0.00014203970774695485	-0.5967287084038351	-0.07399689092121098	0.5965866686960881
gpt-oss-20B	12	-0.0033342966219769288	-0.2195121951219512	-0.32021973894734734	0.21617789849997426
gpt-oss-20B	13	-0.02795099761283426	-0.6696428571428572	-0.8412088730721017	0.641691859530023
gpt-oss-20B	14	-0.008416689637306796	-3.510385756676558	-0.021007808648316306	3.5019690670392514
gpt-oss-20B	15	-0.0005185474364264309	-0.20192307692307687	0.02950434981684913	0.20140452948665044
gpt-oss-20B	16	-0.05840703312050488	-2.7664148750726314	-0.37891072825205985	2.7080078419521265
gpt-oss-20B	17	-0.015457996471680557	-0.5468140442132636	-0.0016309715579034822	0.5313560477415831
gpt-oss-20B	18	-0.021895167162997886	-0.07082152974504252	-0.020414581383793484	0.048926362582044636
gpt-oss-20B	19	-0.10953750146592856	-1.8926654740608226	-0.3810192320080885	1.783127972594894
gpt-oss-20B	20	-0.04586282193663882	-0.40816326530612246	-0.05195875795057803	0.36230044336948364
gpt-oss-20B	21	-0.009229849086664244	-0.4750593824228031	0.040611517766250604	0.46582953333613886
gpt-oss-20B	22	-0.24181258183898824	-6.035714285714286	-0.5018406326515539	5.793901703875298
gpt-oss-20B	23	-0.16481140330848354	-0.0410256410256411	-0.2174394471170149	-0.12378576228284244
gpt-oss-20B	24	-4.812078689513064	-45.0	-9.090873766015608	40.187921310486935
gpt-oss-20B	25	-3.4427171124736367	-0.2500000000000002	-4.801736932938882	-3.1927171124736367
gpt-oss-20B	26	-2.2777741915618788	-0.33333333333333326	-2.2465675008049235	-1.9444408582285455
gpt-oss-20B	27	nan	nan	nan	nan
DeepSeek-V3.1	3	-0.6575644245490697	-1.422043010752688	-29.0038829151732	0.7644785862036183
DeepSeek-V3.1	4	-0.07292337343040356	-0.35276967930029146	-2.9743440233236065	0.2798463058698879
DeepSeek-V3.1	5	-0.0031904361484900168	-0.3853503184713378	-7.541401273885414	0.3821598823228478
DeepSeek-V3.1	6	-0.009738743440254938	-0.42456140350877214	-7.0179337231968635	0.4148226600685172
DeepSeek-V3.1	7	-0.1878190136923572	-2.840909090909091	-13.564703153988834	2.6530900772167336
DeepSeek-V3.1	8	-0.12313258264909255	-0.004926108374384119	-3.8704802117891353	-0.11820647427470843
DeepSeek-V3.1	9	-0.08129473127326725	-0.005376344086021723	-1.1267688835789293	-0.07591838718724553
DeepSeek-V3.1	10	-0.0064065324843260996	-0.9230769230769229	-0.005074050528595775	0.9166703905925968
DeepSeek-V3.1	11	-0.03853903228397315	-0.47761194029850773	-0.13679536203281173	0.4390729080145346
DeepSeek-V3.1	12	-3.583680019403346e-10	-0.9259259259259258	-0.08041143006177731	0.9259259255675578
DeepSeek-V3.1	13	-0.0451079764404263	-1.2195121951219505	-0.5204935777168425	1.1744042186815242
DeepSeek-V3.1	14	-0.06655647220670868	-0.13043478260869557	-0.42999112688553653	0.06387831040198688
DeepSeek-V3.1	15	-0.3055728747136919	-1.8409090909090908	-1.1372316919191974	1.535336216195399
DeepSeek-V3.1	16	-4.947962040091625e-10	-11.0	-0.004482541679773355	10.999999999505203
DeepSeek-V3.1	17	-0.0108169955430919	-0.12499999999999978	-0.013223579873125502	0.11418300445690788
Nemotron-120B	3	-13.92461916488652	-13.759312320916905	-655.2833492518301	-0.16530684396961526
Nemotron-120B	4	-1.3211605332468208	-0.698890649762282	-25.796830427892264	-0.6222698834845388
Nemotron-120B	5	-0.04087866339250712	-0.7819148936170213	-6.661338147750939e-16	0.7410362302245141
Nemotron-120B	6	-0.013060356664474915	-0.8873239436619718	-2.442879499217527	0.8742635869974968
Nemotron-120B	7	-0.028304411854009448	-0.10698689956331853	-1.3333036271277035	0.07868248770930908
Nemotron-120B	8	-0.05991893793450287	-2.976744186046511	-1.0075937351684852	2.9168252481120085
Nemotron-120B	9	-0.26504264272063716	-1.4184397163120566	-2.415287628053584	1.1533970735914194
Nemotron-120B	10	-0.05189480630136978	-0.7012448132780082	-0.15249819965021771	0.6493500069766385
