G	seed	step	zvf	advantage_variance	mean_reward	entropy	grad_norm
16	456	29	1.0	0.0	1.0	0.002076	0.0
16	456	30	0.875	0.999994	0.902344	0.04656	2.234675
16	456	31	0.8125	0.999992	0.933594	0.026741	0.942288
16	456	32	0.875	0.999993	0.945312	0.013558	1.284068
16	456	33	1.0	0.0	1.0	0.001954	0.0
16	456	34	1.0	0.0	1.0	0.001851	0.0
16	456	35	0.9375	0.999992	0.996094	0.004209	0.565924
16	456	36	1.0	0.0	1.0	0.003089	0.0
16	456	37	1.0	0.0	1.0	0.001401	0.0
16	456	38	0.8125	0.999993	0.980469	0.015617	1.789218
16	456	39	0.9375	0.999994	0.992188	0.012481	1.150934
