section	task	algo	bin	len_min	len_max	len_mid	mean_reward	n_steps	seed	model
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L1	182.2969	190.1406	186.9238	0.355469	8	456	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L2	191.7188	193.6719	192.5759	0.270089	7	456	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L3	194.6406	195.7344	195.1853	0.218750	7	456	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L4	196.1094	198.7031	197.0742	0.148438	8	456	Qwen/Qwen2.5-1.5B-Instruct
aggregate_curve	arithmetic_easy_qwen2.5-0.5b	grpo	L1			4.3525	0.972715			
aggregate_curve	arithmetic_easy_qwen2.5-0.5b	grpo	L2			4.4785	0.980917			
aggregate_curve	arithmetic_easy_qwen2.5-0.5b	grpo	L3			4.6094	0.975692			
aggregate_curve	arithmetic_easy_qwen2.5-0.5b	grpo	L4			5.4672	0.755938			
aggregate_curve	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L1			4.3383	0.953524			
aggregate_curve	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L2			4.4789	0.972083			
aggregate_curve	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L3			4.5945	0.970850			
aggregate_curve	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L4			5.3951	0.738793			
aggregate_curve	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L1			180.7689	0.334635			
aggregate_curve	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L2			188.8609	0.291667			
aggregate_curve	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L3			192.3564	0.272321			
aggregate_curve	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L4			195.6061	0.190755			
aggregate_curve	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L1			184.8034	0.338542			
aggregate_curve	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L2			190.7046	0.270833			
aggregate_curve	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L3			193.1741	0.256696			
aggregate_curve	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L4			196.4173	0.175781			
curve_stats	arithmetic_easy_qwen2.5-0.5b	grpo				-0.117195	-0.4000			
curve_stats	arithmetic_easy_qwen2.5-0.5b	dr_grpo				-0.106927	-0.4000			
curve_stats	gsm8k_cot_hard_qwen2.5-1.5b	grpo				-0.007616	-1.0000			
curve_stats	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo				-0.012744	-1.0000			
paired_delta_drgrpo_minus_grpo	arithmetic_easy_qwen2.5-0.5b	dr_grpo				0.010268	0.0000			
paired_delta_drgrpo_minus_grpo	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo				-0.005128	0.0000			
