task	q	side	delta	ci_lo	ci_hi	p	n
gsm8k_cot	3	bwd_signed	-0.5841106976259881	-0.8917763478888279	0.46977127769192284	0.555	3
gsm8k_cot	3	k=-3	-0.3033452289608922	-0.8042415115480767	0.18115150718261308	0.499	3
gsm8k_cot	3	k=-2	0.08623076650466749	-0.010767359369007214	0.6601890327435203	0.499	3
gsm8k_cot	3	k=-1	-0.1737656028454186	-0.754494845439594	0.11292747390929478	0.555	3
gsm8k_cot	3	k=+0	0.8750807680621314	0.45514021626791457	0.9000384539195826	0.0	3
gsm8k_cot	3	k=+1	0.23761373679176523	-0.8569270517785861	0.32505114348644354	0.499	3
gsm8k_cot	3	k=+2	0.031142179992931424	-0.17641107695941297	0.10016380100372747	0.555	3
gsm8k_cot	3	k=+3	0.4421265212378339	-0.03496518966482912	0.5191084035569303	0.555	3
gsm8k_cot	4	fwd	0.15350522102994102	0.018966437445439688	0.43595683355490733	0.0	3
gsm8k_cot	4	bwd	-0.39540051538028353	-1.2561864634902786	0.128113025417386	0.499	3
gsm8k_cot	4	fwd_signed	-0.43106700240123336	-0.8287685003642722	-0.2577247838025948	0.0	3
gsm8k_cot	4	bwd_signed	0.07127745008840725	-0.22918489925546276	0.9273055980713028	0.499	3
gsm8k_cot	4	k=-3	-0.18649864995578652	-0.6544639251538622	-0.09729622912588007	0.0	3
gsm8k_cot	4	k=-2	0.19321891744295053	-0.05053593691903832	0.9921265561512521	0.499	3
gsm8k_cot	4	k=-1	0.007849687619362106	-0.26638518090898267	0.8313829097542323	0.555	3
gsm8k_cot	4	k=+0	-0.034950184747433166	-0.5939695118539702	0.1290120227223508	0.499	3
gsm8k_cot	4	k=+1	0.028770562241117736	-0.14763888444822043	0.08079279511793738	0.499	3
gsm8k_cot	4	k=+2	-0.11937917317857755	-1.180512968869235	0.0024449155768370145	0.499	3
gsm8k_cot	4	k=+3	-0.21913840574195464	-0.28587303352984994	0.32297390626384526	0.48	3
