decile	fset	cost_ratio	seed	n_decile	pos_decile	min_cost	opt_threshold
5	20raw	100	7	1000	13	0.022000	0.5400
5	20raw	100	911	1000	13	0.009000	0.6400
5	20raw	1000	42	1000	13	0.013000	0.5800
5	20raw	1000	179	1000	13	0.030000	0.5000
5	20raw	1000	316	1000	13	0.014000	0.6100
5	20raw	1000	7	1000	13	0.022000	0.5400
5	20raw	1000	911	1000	13	0.009000	0.6400
5	20raw	10000	42	1000	13	0.013000	0.5800
5	20raw	10000	179	1000	13	0.030000	0.5000
5	20raw	10000	316	1000	13	0.014000	0.6100
5	20raw	10000	7	1000	13	0.022000	0.5400
5	20raw	10000	911	1000	13	0.009000	0.6400
5	24full	1	42	1000	13	0.005000	0.7500
5	24full	1	179	1000	13	0.003000	0.8300
5	24full	1	316	1000	13	0.005000	0.8200
5	24full	1	7	1000	13	0.004000	0.8200
5	24full	1	911	1000	13	0.004000	0.7700
5	24full	10	42	1000	13	0.009000	0.6400
5	24full	10	179	1000	13	0.017000	0.6800
5	24full	10	316	1000	13	0.018000	0.5700
5	24full	10	7	1000	13	0.013000	0.6300
5	24full	10	911	1000	13	0.013000	0.7700
5	24full	100	42	1000	13	0.009000	0.6400
5	24full	100	179	1000	13	0.021000	0.5500
5	24full	100	316	1000	13	0.018000	0.5700
5	24full	100	7	1000	13	0.013000	0.6300
5	24full	100	911	1000	13	0.015000	0.6100
5	24full	1000	42	1000	13	0.009000	0.6400
5	24full	1000	179	1000	13	0.021000	0.5500
5	24full	1000	316	1000	13	0.018000	0.5700
5	24full	1000	7	1000	13	0.013000	0.6300
5	24full	1000	911	1000	13	0.015000	0.6100
5	24full	10000	42	1000	13	0.009000	0.6400
5	24full	10000	179	1000	13	0.021000	0.5500
5	24full	10000	316	1000	13	0.018000	0.5700
5	24full	10000	7	1000	13	0.013000	0.6300
5	24full	10000	911	1000	13	0.015000	0.6100
5	4sensor	1	42	1000	13	0.013000	0.8700
5	4sensor	1	179	1000	13	0.013000	0.8700
5	4sensor	1	316	1000	13	0.013000	0.8600
5	4sensor	1	7	1000	13	0.013000	0.8600
5	4sensor	1	911	1000	13	0.013000	0.8700
5	4sensor	10	42	1000	13	0.051000	0.6800
5	4sensor	10	179	1000	13	0.074000	0.6700
5	4sensor	10	316	1000	13	0.061000	0.6900
5	4sensor	10	7	1000	13	0.066000	0.6900
5	4sensor	10	911	1000	13	0.063000	0.6900
5	4sensor	100	42	1000	13	0.150000	0.6000
5	4sensor	100	179	1000	13	0.140000	0.6100
5	4sensor	100	316	1000	13	0.203000	0.5800
5	4sensor	100	7	1000	13	0.241000	0.5700
5	4sensor	100	911	1000	13	0.189000	0.5900
5	4sensor	1000	42	1000	13	0.150000	0.6000
5	4sensor	1000	179	1000	13	0.140000	0.6100
5	4sensor	1000	316	1000	13	0.203000	0.5800
5	4sensor	1000	7	1000	13	0.241000	0.5700
5	4sensor	1000	911	1000	13	0.189000	0.5900
5	4sensor	10000	42	1000	13	0.150000	0.6000
5	4sensor	10000	179	1000	13	0.140000	0.6100
5	4sensor	10000	316	1000	13	0.203000	0.5800
5	4sensor	10000	7	1000	13	0.241000	0.5700
5	4sensor	10000	911	1000	13	0.189000	0.5900
6	20raw	1	42	1000	23	0.011000	0.6200
6	20raw	1	179	1000	23	0.010000	0.7000
6	20raw	1	316	1000	23	0.011000	0.7400
6	20raw	1	7	1000	23	0.009000	0.7100
6	20raw	1	911	1000	23	0.009000	0.7200
6	20raw	10	42	1000	23	0.014000	0.5900
6	20raw	10	179	1000	23	0.012000	0.6300
6	20raw	10	316	1000	23	0.019000	0.6200
6	20raw	10	7	1000	23	0.021000	0.6000
6	20raw	10	911	1000	23	0.023000	0.5700
6	20raw	100	42	1000	23	0.014000	0.5900
6	20raw	100	179	1000	23	0.012000	0.6300
6	20raw	100	316	1000	23	0.019000	0.6200
6	20raw	100	7	1000	23	0.021000	0.6000
6	20raw	100	911	1000	23	0.023000	0.5700
6	20raw	1000	42	1000	23	0.014000	0.5900
6	20raw	1000	179	1000	23	0.012000	0.6300
6	20raw	1000	316	1000	23	0.019000	0.6200
6	20raw	1000	7	1000	23	0.021000	0.6000
6	20raw	1000	911	1000	23	0.023000	0.5700
6	20raw	10000	42	1000	23	0.014000	0.5900
6	20raw	10000	179	1000	23	0.012000	0.6300
6	20raw	10000	316	1000	23	0.019000	0.6200
6	20raw	10000	7	1000	23	0.021000	0.6000
6	20raw	10000	911	1000	23	0.023000	0.5700
6	24full	1	42	1000	23	0.010000	0.7600
6	24full	1	179	1000	23	0.013000	0.7200
6	24full	1	316	1000	23	0.011000	0.6900
6	24full	1	7	1000	23	0.010000	0.7500
6	24full	1	911	1000	23	0.009000	0.7700
6	24full	10	42	1000	23	0.020000	0.6300
6	24full	10	179	1000	23	0.019000	0.6500
6	24full	10	316	1000	23	0.019000	0.6300
6	24full	10	7	1000	23	0.012000	0.6700
6	24full	10	911	1000	23	0.013000	0.6400
6	24full	100	42	1000	23	0.020000	0.6300
6	24full	100	179	1000	23	0.019000	0.6500
6	24full	100	316	1000	23	0.019000	0.6300
6	24full	100	7	1000	23	0.012000	0.6700
6	24full	100	911	1000	23	0.013000	0.6400
6	24full	1000	42	1000	23	0.020000	0.6300
6	24full	1000	179	1000	23	0.019000	0.6500
6	24full	1000	316	1000	23	0.019000	0.6300
6	24full	1000	7	1000	23	0.012000	0.6700
6	24full	1000	911	1000	23	0.013000	0.6400
6	24full	10000	42	1000	23	0.020000	0.6300
6	24full	10000	179	1000	23	0.019000	0.6500
6	24full	10000	316	1000	23	0.019000	0.6300
6	24full	10000	7	1000	23	0.012000	0.6700
6	24full	10000	911	1000	23	0.013000	0.6400
6	4sensor	1	42	1000	23	0.023000	0.8400
6	4sensor	1	179	1000	23	0.022000	0.7900
6	4sensor	1	316	1000	23	0.022000	0.8200
6	4sensor	1	7	1000	23	0.022000	0.8000
6	4sensor	1	911	1000	23	0.022000	0.7900
6	4sensor	10	42	1000	23	0.147000	0.6300
6	4sensor	10	179	1000	23	0.128000	0.6600
6	4sensor	10	316	1000	23	0.125000	0.6600
6	4sensor	10	7	1000	23	0.149000	0.6600
6	4sensor	10	911	1000	23	0.133000	0.6600
6	4sensor	100	42	1000	23	0.451000	0.6000
6	4sensor	100	179	1000	23	0.449000	0.5200
6	4sensor	100	316	1000	23	0.436000	0.5700
6	4sensor	100	7	1000	23	0.298000	0.5400
6	4sensor	100	911	1000	23	0.372000	0.5000
6	4sensor	1000	42	1000	23	0.455000	0.4800
6	4sensor	1000	179	1000	23	0.465000	0.4800
6	4sensor	1000	316	1000	23	0.454000	0.4900
6	4sensor	1000	7	1000	23	0.298000	0.5400
6	4sensor	1000	911	1000	23	0.372000	0.5000
6	4sensor	10000	42	1000	23	0.455000	0.4800
6	4sensor	10000	179	1000	23	0.465000	0.4800
6	4sensor	10000	316	1000	23	0.454000	0.4900
6	4sensor	10000	7	1000	23	0.298000	0.5400
6	4sensor	10000	911	1000	23	0.372000	0.5000
7	20raw	1	42	1000	20	0.003000	0.7300
7	20raw	1	179	1000	20	0.004000	0.6500
7	20raw	1	316	1000	20	0.002000	0.7100
7	20raw	1	7	1000	20	0.005000	0.8100
7	20raw	1	911	1000	20	0.003000	0.7800
7	20raw	10	42	1000	20	0.005000	0.6100
7	20raw	10	179	1000	20	0.004000	0.6500
7	20raw	10	316	1000	20	0.011000	0.6200
7	20raw	10	7	1000	20	0.008000	0.6500
7	20raw	10	911	1000	20	0.006000	0.6500
7	20raw	100	42	1000	20	0.005000	0.6100
7	20raw	100	179	1000	20	0.004000	0.6500
7	20raw	100	316	1000	20	0.011000	0.6200
7	20raw	100	7	1000	20	0.008000	0.6500
