method	step	tau	G_N	zvf_step	n_boundary_prompts	n_total_prompts	mean_restored_step
aero	14	0.55	16	0.75	12	16	0.0292
aero	15	0.55	16	0.8125	13	16	0.017
aero	16	0.55	16	0.5625	9	16	0.0409
aero	17	0.55	16	0.5625	9	16	0.0377
aero	18	0.55	16	0.625	10	16	0.0404
aero	19	0.55	16	0.625	10	16	0.0329
aero	20	0.55	16	0.625	10	16	0.0447
aero	21	0.55	16	0.8125	13	16	0.0287
aero	22	0.55	16	0.6875	11	16	0.0578
aero	23	0.55	16	0.8125	13	16	0.0254
aero	24	0.55	16	0.8125	13	16	0.0423
aero	25	0.55	16	0.6875	11	16	0.0409
aero	26	0.55	16	0.875	14	16	0.0071
aero	27	0.55	16	0.9375	15	16	0.0014
aero	28	0.55	16	0.8125	13	16	0.0287
aero	29	0.55	16	0.875	14	16	0.0113
aero	30	0.55	16	0.8125	13	16	0.0338
aero	31	0.55	16	0.8125	13	16	0.0338
aero	32	0.55	16	0.75	12	16	0.0217
aero	33	0.55	16	0.625	10	16	0.0508
aero	34	0.55	16	0.875	14	16	0.0155
