method	step	prompt	k	p_hat	regime	zvf_step	is_sat_band	g_baseline	g_zvf70	g_dual	g_hybrid	zvf_baseline	zvf_zvf70	zvf_dual	zvf_hybrid
grpo	17	6	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	17	7	5	0.625	mid	0.5	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	17	8	6	0.75	mid	0.5	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	17	9	2	0.25	mid	0.5	False	8	8	16	8	0.1001	0.1001	0.01	0.1001
grpo	17	10	6	0.75	mid	0.5	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	17	11	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	17	12	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	17	13	4	0.5	mid	0.5	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	17	14	7	0.875	boundary	0.5	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	17	15	7	0.875	boundary	0.5	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	18	0	4	0.5	mid	0.5625	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	18	1	5	0.625	mid	0.5625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	18	2	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	18	3	3	0.375	mid	0.5625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	18	4	6	0.75	mid	0.5625	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	18	5	0	0.0	saturated	0.5625	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	18	6	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	18	7	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	18	8	0	0.0	saturated	0.5625	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	18	9	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	18	10	5	0.625	mid	0.5625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	18	11	6	0.75	mid	0.5625	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	18	12	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	18	13	6	0.75	mid	0.5625	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	18	14	0	0.0	saturated	0.5625	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	18	15	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	19	0	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	19	1	7	0.875	boundary	0.625	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	19	2	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	19	3	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	19	4	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	19	5	3	0.375	mid	0.625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	19	6	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	19	7	0	0.0	saturated	0.625	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	19	8	7	0.875	boundary	0.625	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	19	9	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	19	10	7	0.875	boundary	0.625	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	19	11	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	19	12	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	19	13	3	0.375	mid	0.625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	19	14	1	0.125	boundary	0.625	False	8	8	16	8	0.3436	0.3436	0.1181	0.3436
grpo	19	15	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	20	0	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	20	1	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	20	2	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	20	3	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	20	4	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	20	5	7	0.875	boundary	0.625	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	20	6	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	20	7	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	20	8	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	20	9	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	20	10	4	0.5	mid	0.625	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	20	11	6	0.75	mid	0.625	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	20	12	2	0.25	mid	0.625	False	8	8	16	8	0.1001	0.1001	0.01	0.1001
grpo	20	13	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	20	14	2	0.25	mid	0.625	False	8	8	16	8	0.1001	0.1001	0.01	0.1001
grpo	20	15	5	0.625	mid	0.625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	21	0	7	0.875	boundary	0.75	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	21	1	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	21	2	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	21	3	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	21	4	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	21	5	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	21	6	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	21	7	3	0.375	mid	0.75	False	8	16	16	16	0.0237	0.0005	0.0005	0.0005
grpo	21	8	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	21	9	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	21	10	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	21	11	0	0.0	saturated	0.75	False	8	16	16	16	1.0	1.0	1.0	1.0
grpo	21	12	5	0.625	mid	0.75	False	8	16	16	16	0.0237	0.0005	0.0005	0.0005
grpo	21	13	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	21	14	7	0.875	boundary	0.75	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	21	15	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	22	0	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	22	1	6	0.75	mid	0.75	False	8	16	8	16	0.1001	0.01	0.1001	0.01
grpo	22	2	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	22	3	5	0.625	mid	0.75	False	8	16	16	16	0.0237	0.0005	0.0005	0.0005
grpo	22	4	5	0.625	mid	0.75	False	8	16	16	16	0.0237	0.0005	0.0005	0.0005
grpo	22	5	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	22	6	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	22	7	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	22	8	1	0.125	boundary	0.75	False	8	16	16	16	0.3436	0.1181	0.1181	0.1181
grpo	22	9	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	22	10	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	22	11	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	22	12	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	22	13	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	22	14	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	22	15	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	0	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	1	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	2	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	3	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	4	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	5	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	6	2	0.25	mid	0.875	False	8	16	16	16	0.1001	0.01	0.01	0.01
grpo	23	7	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	8	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	9	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	10	7	0.875	boundary	0.875	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	23	11	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	12	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	13	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	14	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	23	15	0	0.0	saturated	0.875	False	8	16	16	16	1.0	1.0	1.0	1.0
grpo	24	0	7	0.875	boundary	0.8125	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	24	1	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	24	2	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	24	3	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	24	4	1	0.125	boundary	0.8125	False	8	16	16	16	0.3436	0.1181	0.1181	0.1181
grpo	24	5	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	24	6	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	24	7	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	24	8	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	24	9	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	24	10	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	24	11	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	24	12	7	0.875	boundary	0.8125	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	24	13	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	24	14	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	24	15	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	25	0	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	25	1	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	25	2	4	0.5	mid	0.5625	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	25	3	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	25	4	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	25	5	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	25	6	2	0.25	mid	0.5625	False	8	8	16	8	0.1001	0.1001	0.01	0.1001
grpo	25	7	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	25	8	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	25	9	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	25	10	5	0.625	mid	0.5625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	25	11	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	25	12	1	0.125	boundary	0.5625	False	8	8	16	8	0.3436	0.3436	0.1181	0.3436
grpo	25	13	3	0.375	mid	0.5625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	25	14	7	0.875	boundary	0.5625	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	25	15	7	0.875	boundary	0.5625	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	26	0	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	26	1	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	26	2	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	26	3	0	0.0	saturated	0.8125	False	8	16	16	16	1.0	1.0	1.0	1.0
grpo	26	4	7	0.875	boundary	0.8125	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	26	5	2	0.25	mid	0.8125	False	8	16	16	16	0.1001	0.01	0.01	0.01
grpo	26	6	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	26	7	7	0.875	boundary	0.8125	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	26	8	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	26	9	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	26	10	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	26	11	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	26	12	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	26	13	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	26	14	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	26	15	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	27	0	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	1	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	2	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	3	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	4	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	5	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	6	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	7	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	8	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	9	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	10	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	11	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	12	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	13	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	27	14	4	0.5	mid	0.9375	True	8	16	16	4	0.0078	0.0	0.0	0.125
grpo	27	15	8	1.0	saturated	0.9375	True	8	16	2	4	1.0	1.0	1.0	1.0
grpo	28	0	7	0.875	boundary	0.8125	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	28	1	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	28	2	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	28	3	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	28	4	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	28	5	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	28	6	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	28	7	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	28	8	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	28	9	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	28	10	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	28	11	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	28	12	7	0.875	boundary	0.8125	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	28	13	0	0.0	saturated	0.8125	False	8	16	16	16	1.0	1.0	1.0	1.0
grpo	28	14	5	0.625	mid	0.8125	False	8	16	16	16	0.0237	0.0005	0.0005	0.0005
grpo	28	15	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	29	0	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	29	1	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	29	2	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	29	3	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	29	4	4	0.5	mid	0.8125	False	8	16	16	16	0.0078	0.0	0.0	0.0
grpo	29	5	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	29	6	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	29	7	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	29	8	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	29	9	7	0.875	boundary	0.8125	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	29	10	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	29	11	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	29	12	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	29	13	7	0.875	boundary	0.8125	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	29	14	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	29	15	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	0	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	1	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	2	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	3	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	4	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	5	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	6	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	7	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	8	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	9	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	10	7	0.875	boundary	0.8125	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	30	11	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	12	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	13	7	0.875	boundary	0.8125	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	30	14	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	30	15	2	0.25	mid	0.8125	False	8	16	16	16	0.1001	0.01	0.01	0.01
grpo	31	0	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	31	1	1	0.125	boundary	0.75	False	8	16	16	16	0.3436	0.1181	0.1181	0.1181
grpo	31	2	7	0.875	boundary	0.75	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	31	3	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	31	4	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	31	5	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	31	6	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	31	7	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	31	8	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	31	9	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	31	10	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	31	11	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	31	12	7	0.875	boundary	0.75	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	31	13	6	0.75	mid	0.75	False	8	16	8	16	0.1001	0.01	0.1001	0.01
grpo	31	14	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	31	15	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	32	0	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	32	1	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	32	2	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	32	3	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	32	4	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	32	5	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	32	6	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	32	7	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	32	8	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	32	9	4	0.5	mid	0.6875	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	32	10	7	0.875	boundary	0.6875	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	32	11	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	32	12	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	32	13	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	32	14	3	0.375	mid	0.6875	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	32	15	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	33	0	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	33	1	7	0.875	boundary	0.6875	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	33	2	5	0.625	mid	0.6875	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	33	3	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	33	4	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	33	5	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	33	6	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	33	7	7	0.875	boundary	0.6875	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	33	8	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	33	9	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	33	10	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	33	11	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	33	12	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	33	13	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	33	14	7	0.875	boundary	0.6875	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	33	15	0	0.0	saturated	0.6875	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	34	0	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	34	1	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	34	2	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	34	3	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	34	4	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	34	5	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	34	6	1	0.125	boundary	0.875	False	8	16	16	16	0.3436	0.1181	0.1181	0.1181
grpo	34	7	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	34	8	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	34	9	2	0.25	mid	0.875	False	8	16	16	16	0.1001	0.01	0.01	0.01
grpo	34	10	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	34	11	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	34	12	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	34	13	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	34	14	8	1.0	saturated	0.875	False	8	16	2	16	1.0	1.0	1.0	1.0
