delta_id	component	stack_id	framework	openness	label_claimed	status
delta_dapo	kl_removed	zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	not_applicable
delta_dapo	kl_removed	zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	not_applicable
delta_dapo	kl_removed	zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	not_applicable
delta_drgrpo	length_normalization	colab-open_dapo_e3	colab-open-trainer	open	dapo	not_applicable
delta_drgrpo	length_normalization	colab-open_drgrpo_e3	colab-open-trainer	open	drgrpo	implemented
delta_drgrpo	length_normalization	colab-open_grpo-adaptiveg_e3	colab-open-trainer	open	grpo	not_applicable
delta_drgrpo	length_normalization	colab-open_grpo_e3	colab-open-trainer	open	grpo	not_applicable
delta_drgrpo	length_normalization	openrlhf_grpo_qwen3-8b_gsm8k	openrlhf	open	grpo	not_applicable
delta_drgrpo	length_normalization	tinker_aero_qwen3.5-4b_gsm8k	tinker	managed	aero	not_applicable
delta_drgrpo	length_normalization	tinker_areal_qwen3.5-4b_gsm8k	tinker	managed	areal	not_applicable
delta_drgrpo	length_normalization	tinker_dapo_qwen3.5-4b_gsm8k	tinker	managed	dapo	not_applicable
delta_drgrpo	length_normalization	tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	managed	drgrpo	surrogate
delta_drgrpo	length_normalization	tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	not_applicable
delta_drgrpo	length_normalization	tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	not_applicable
delta_drgrpo	length_normalization	tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	not_applicable
delta_drgrpo	length_normalization	tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	not_applicable
delta_drgrpo	length_normalization	trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	not_applicable
delta_drgrpo	length_normalization	verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	not_applicable
delta_drgrpo	length_normalization	zvf130_cppo	worktree-zvf130-batch	open	cppo	not_applicable
delta_drgrpo	length_normalization	zvf130_es	worktree-zvf130-batch	open	es	not_applicable
delta_drgrpo	length_normalization	zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	not_applicable
delta_drgrpo	length_normalization	zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	not_applicable
delta_drgrpo	length_normalization	zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	not_applicable
delta_drgrpo	advantage_std_normalization	colab-open_dapo_e3	colab-open-trainer	open	dapo	not_applicable
delta_drgrpo	advantage_std_normalization	colab-open_drgrpo_e3	colab-open-trainer	open	drgrpo	implemented
delta_drgrpo	advantage_std_normalization	colab-open_grpo-adaptiveg_e3	colab-open-trainer	open	grpo	not_applicable
delta_drgrpo	advantage_std_normalization	colab-open_grpo_e3	colab-open-trainer	open	grpo	not_applicable
delta_drgrpo	advantage_std_normalization	openrlhf_grpo_qwen3-8b_gsm8k	openrlhf	open	grpo	not_applicable
delta_drgrpo	advantage_std_normalization	tinker_aero_qwen3.5-4b_gsm8k	tinker	managed	aero	not_applicable
delta_drgrpo	advantage_std_normalization	tinker_areal_qwen3.5-4b_gsm8k	tinker	managed	areal	not_applicable
delta_drgrpo	advantage_std_normalization	tinker_dapo_qwen3.5-4b_gsm8k	tinker	managed	dapo	not_applicable
delta_drgrpo	advantage_std_normalization	tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	managed	drgrpo	surrogate
delta_drgrpo	advantage_std_normalization	tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	not_applicable
delta_drgrpo	advantage_std_normalization	tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	not_applicable
delta_drgrpo	advantage_std_normalization	tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	not_applicable
delta_drgrpo	advantage_std_normalization	tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	not_applicable
delta_drgrpo	advantage_std_normalization	trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	not_applicable
delta_drgrpo	advantage_std_normalization	verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	not_applicable
delta_drgrpo	advantage_std_normalization	zvf130_cppo	worktree-zvf130-batch	open	cppo	not_applicable
delta_drgrpo	advantage_std_normalization	zvf130_es	worktree-zvf130-batch	open	es	not_applicable
delta_drgrpo	advantage_std_normalization	zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	not_applicable
delta_drgrpo	advantage_std_normalization	zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	not_applicable
delta_drgrpo	advantage_std_normalization	zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	not_applicable
delta_es	black_box_perturbation	colab-open_dapo_e3	colab-open-trainer	open	dapo	not_applicable
delta_es	black_box_perturbation	colab-open_drgrpo_e3	colab-open-trainer	open	drgrpo	not_applicable
delta_es	black_box_perturbation	colab-open_grpo-adaptiveg_e3	colab-open-trainer	open	grpo	not_applicable
delta_es	black_box_perturbation	colab-open_grpo_e3	colab-open-trainer	open	grpo	not_applicable
delta_es	black_box_perturbation	openrlhf_grpo_qwen3-8b_gsm8k	openrlhf	open	grpo	not_applicable
delta_es	black_box_perturbation	tinker_aero_qwen3.5-4b_gsm8k	tinker	managed	aero	not_applicable
delta_es	black_box_perturbation	tinker_areal_qwen3.5-4b_gsm8k	tinker	managed	areal	not_applicable
delta_es	black_box_perturbation	tinker_dapo_qwen3.5-4b_gsm8k	tinker	managed	dapo	not_applicable
delta_es	black_box_perturbation	tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	managed	drgrpo	not_applicable
delta_es	black_box_perturbation	tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	not_applicable
delta_es	black_box_perturbation	tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	not_applicable
delta_es	black_box_perturbation	tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	not_applicable
delta_es	black_box_perturbation	tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	not_applicable
delta_es	black_box_perturbation	trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	not_applicable
delta_es	black_box_perturbation	verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	not_applicable
delta_es	black_box_perturbation	zvf130_cppo	worktree-zvf130-batch	open	cppo	not_applicable
delta_es	black_box_perturbation	zvf130_es	worktree-zvf130-batch	open	es	unknown
delta_es	black_box_perturbation	zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	not_applicable
delta_es	black_box_perturbation	zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	not_applicable
delta_es	black_box_perturbation	zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	not_applicable
delta_gift	gamma_likelihood_baseline	colab-open_dapo_e3	colab-open-trainer	open	dapo	not_applicable
delta_gift	gamma_likelihood_baseline	colab-open_drgrpo_e3	colab-open-trainer	open	drgrpo	not_applicable
delta_gift	gamma_likelihood_baseline	colab-open_grpo-adaptiveg_e3	colab-open-trainer	open	grpo	not_applicable
delta_gift	gamma_likelihood_baseline	colab-open_grpo_e3	colab-open-trainer	open	grpo	not_applicable
delta_gift	gamma_likelihood_baseline	openrlhf_grpo_qwen3-8b_gsm8k	openrlhf	open	grpo	not_applicable
delta_gift	gamma_likelihood_baseline	tinker_aero_qwen3.5-4b_gsm8k	tinker	managed	aero	not_applicable
delta_gift	gamma_likelihood_baseline	tinker_areal_qwen3.5-4b_gsm8k	tinker	managed	areal	not_applicable
delta_gift	gamma_likelihood_baseline	tinker_dapo_qwen3.5-4b_gsm8k	tinker	managed	dapo	not_applicable
delta_gift	gamma_likelihood_baseline	tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	managed	drgrpo	not_applicable
delta_gift	gamma_likelihood_baseline	tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	implemented
delta_gift	gamma_likelihood_baseline	tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	not_applicable
delta_gift	gamma_likelihood_baseline	tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	not_applicable
delta_gift	gamma_likelihood_baseline	tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	not_applicable
delta_gift	gamma_likelihood_baseline	trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	not_applicable
delta_gift	gamma_likelihood_baseline	verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	not_applicable
delta_gift	gamma_likelihood_baseline	zvf130_cppo	worktree-zvf130-batch	open	cppo	not_applicable
delta_gift	gamma_likelihood_baseline	zvf130_es	worktree-zvf130-batch	open	es	not_applicable
delta_gift	gamma_likelihood_baseline	zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	not_applicable
delta_gift	gamma_likelihood_baseline	zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	not_applicable
delta_gift	gamma_likelihood_baseline	zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	not_applicable
delta_gspo	sequence_level_ratio	colab-open_dapo_e3	colab-open-trainer	open	dapo	not_applicable
delta_gspo	sequence_level_ratio	colab-open_drgrpo_e3	colab-open-trainer	open	drgrpo	not_applicable
delta_gspo	sequence_level_ratio	colab-open_grpo-adaptiveg_e3	colab-open-trainer	open	grpo	not_applicable
delta_gspo	sequence_level_ratio	colab-open_grpo_e3	colab-open-trainer	open	grpo	not_applicable
delta_gspo	sequence_level_ratio	openrlhf_grpo_qwen3-8b_gsm8k	openrlhf	open	grpo	not_applicable
delta_gspo	sequence_level_ratio	tinker_aero_qwen3.5-4b_gsm8k	tinker	managed	aero	not_applicable
delta_gspo	sequence_level_ratio	tinker_areal_qwen3.5-4b_gsm8k	tinker	managed	areal	not_applicable
delta_gspo	sequence_level_ratio	tinker_dapo_qwen3.5-4b_gsm8k	tinker	managed	dapo	not_applicable
delta_gspo	sequence_level_ratio	tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	managed	drgrpo	not_applicable
delta_gspo	sequence_level_ratio	tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	not_applicable
delta_gspo	sequence_level_ratio	tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	not_applicable
delta_gspo	sequence_level_ratio	tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	not_applicable
delta_gspo	sequence_level_ratio	tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	surrogate
delta_gspo	sequence_level_ratio	trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	not_applicable
delta_gspo	sequence_level_ratio	verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	not_applicable
delta_gspo	sequence_level_ratio	zvf130_cppo	worktree-zvf130-batch	open	cppo	not_applicable
delta_gspo	sequence_level_ratio	zvf130_es	worktree-zvf130-batch	open	es	not_applicable
