method	step	controller	rollouts_used	contrast_intent	contrast_magnitude	baseline_contrast_magnitude	contrast_restored	cost_ratio
areal	12	DUALFORMER_PP	90	3	2.999	2.9289	0.0701	0.7031
areal	12	STATIC_G16	256	3	2.9985	2.9289	0.0696	2.0
areal	12	STATIC_G8	128	3	2.9289	2.9289	0.0	1.0
areal	13	ADAPTIVE_PP	184	7	6.968	6.6049	0.3631	1.4375
areal	13	ADAPTIVE_PP_ORACLE	520	7	7.0	6.6049	0.3951	4.0625
areal	13	DUALFORMER_PP	200	7	6.8982	6.6049	0.2933	1.5625
areal	13	STATIC_G16	256	7	6.968	6.6049	0.3631	2.0
areal	13	STATIC_G8	128	7	6.6049	6.6049	0.0	1.0
areal	14	ADAPTIVE_PP	168	5	4.7438	4.1048	0.639	1.3125
areal	14	ADAPTIVE_PP_ORACLE	408	5	4.9996	4.1048	0.8948	3.1875
areal	14	DUALFORMER_PP	86	5	3.727	4.1048	-0.3778	0.6719
areal	14	STATIC_G16	256	5	4.7438	4.1048	0.639	2.0
areal	14	STATIC_G8	128	5	4.1048	4.1048	0.0	1.0
areal	15	ADAPTIVE_PP	168	5	4.5271	3.6019	0.9252	1.3125
areal	15	ADAPTIVE_PP_ORACLE	408	5	4.9992	3.6019	1.3973	3.1875
areal	15	DUALFORMER_PP	112	5	3.2264	3.6019	-0.3755	0.875
areal	15	STATIC_G16	256	5	4.5271	3.6019	0.9252	2.0
areal	15	STATIC_G8	128	5	3.6019	3.6019	0.0	1.0
areal	16	ADAPTIVE_PP	176	6	5.6252	4.7453	0.8799	1.375
areal	16	ADAPTIVE_PP_ORACLE	464	6	5.9994	4.7453	1.2541	3.625
areal	16	DUALFORMER_PP	164	6	4.1406	4.7453	-0.6047	1.2812
areal	16	STATIC_G16	256	6	5.6252	4.7453	0.8799	2.0
areal	16	STATIC_G8	128	6	4.7453	4.7453	0.0	1.0
areal	17	ADAPTIVE_PP	192	8	7.6347	6.8061	0.8286	1.5
areal	17	ADAPTIVE_PP_ORACLE	576	8	7.9994	6.8061	1.1933	4.5
areal	17	DUALFORMER_PP	130	8	6.1397	6.8061	-0.6664	1.0156
areal	17	STATIC_G16	256	8	7.6347	6.8061	0.8286	2.0
areal	17	STATIC_G8	128	8	6.8061	6.8061	0.0	1.0
areal	18	ADAPTIVE_PP	184	7	6.6347	5.8139	0.8208	1.4375
areal	18	ADAPTIVE_PP_ORACLE	520	7	6.9994	5.8139	1.1855	4.0625
areal	18	DUALFORMER_PP	200	7	5.2397	5.8139	-0.5742	1.5625
areal	18	STATIC_G16	256	7	6.6347	5.8139	0.8208	2.0
areal	18	STATIC_G8	128	7	5.8139	5.8139	0.0	1.0
areal	19	ADAPTIVE_PP	160	4	3.98	3.7842	0.1958	1.25
areal	19	ADAPTIVE_PP_ORACLE	352	4	4.0	3.7842	0.2158	2.75
