method	controller	step	zvf	pcd	step_rollouts	fired	saved	wasted	contrast_intent	contrast_magnitude
grpo	C2_zt@0.5	22	0.75	0.0478515625	256	1	4	12	4	3.8708260009504585
grpo	C2_zt@0.5	23	0.875	0.0185546875	256	1	2	14	2	1.8719105409882912
grpo	C2_zt@0.5	24	0.8125	0.0205078125	256	1	3	13	3	2.6457989469362366
grpo	C2_zt@0.5	25	0.5625	0.0771484375	256	1	7	9	7	6.63466126132983
grpo	C2_zt@0.5	26	0.8125	0.025390625	256	1	3	13	3	2.75384343796704
grpo	C2_zt@0.5	27	0.9375	0.015625	256	1	1	15	1	0.9999697224218665
grpo	C2_zt@0.5	28	0.8125	0.0283203125	256	1	3	13	3	2.763323779938571
grpo	C2_zt@0.5	29	0.8125	0.029296875	256	1	3	13	3	2.7638355163793635
grpo	C2_zt@0.5	30	0.8125	0.025390625	256	1	3	13	3	2.753843437967039
grpo	C2_zt@0.5	31	0.75	0.0322265625	256	1	4	12	4	3.6357763349457883
grpo	C2_zt@0.5	32	0.6875	0.060546875	256	1	5	11	5	4.861315125400801
grpo	C2_zt@0.5	33	0.6875	0.046875	256	1	5	11	5	4.6352340649268715
grpo	C2_zt@0.5	34	0.875	0.0185546875	256	1	2	14	2	1.8719105409882912
grpo	C2_zt@0.5	35	0.9375	0.01171875	256	1	1	15	1	0.9899776440095424
grpo	C2_zt@0.5	36	0.8125	0.0283203125	256	1	3	13	3	2.763323779938571
grpo	C2_zt@0.5	37	0.75	0.0458984375	256	1	4	12	4	3.861857395419718
grpo	C2_zt@0.5	38	0.6875	0.0517578125	256	1	5	11	5	4.743278555957675
grpo	C2_zt@0.5	39	0.75	0.0478515625	256	1	4	12	4	3.870826000950458
grpo	C3_ucc@0.5	0	0.6875	0.0390625	116	1	5	11	5	4.292167211535331
grpo	C3_ucc@0.5	1	0.5	0.0908203125	136	1	8	8	8	6.949036361053343
grpo	C3_ucc@0.5	2	0.6875	0.052734375	120	1	5	11	5	4.292706395620053
grpo	C3_ucc@0.5	3	0.75	0.037109375	120	1	4	12	4	3.2927369291981767
grpo	C3_ucc@0.5	4	0.6875	0.0576171875	136	1	5	11	5	4.8518346634292735
grpo	C3_ucc@0.5	5	0.6875	0.056640625	148	1	5	11	5	4.753782262810795
grpo	C3_ucc@0.5	6	0.8125	0.033203125	116	1	3	13	3	2.64582625058017
grpo	C3_ucc@0.5	7	0.6875	0.0478515625	140	1	5	11	5	4.410203804978458
grpo	C3_ucc@0.5	8	0.5625	0.0732421875	140	1	7	9	7	6.3991271865283
